Subject,Completed,CSV
100206,0,0
100307,0,0
100408,0,0
100610,0,0
101006,0,0
101107,0,0
101309,0,0
101410,0,0
101915,0,0
102008,0,0
102109,0,0
102311,0,0
102513,0,0
102614,0,0
102715,0,0
102816,0,0
103010,0,0
103111,0,0
103212,0,0
103414,0,0
103515,0,0
103818,0,0
104012,0,0
104416,0,0
104820,0,0
105014,0,0
105115,0,0
105216,0,0
105620,0,0
105923,0,0
106016,0,0
106319,0,0
106521,0,0
106824,0,0
107018,0,0
107220,0,0
107321,0,0
107422,0,0
107725,0,0
108020,0,0
108121,0,0
108222,0,0
108323,0,0
108525,0,0
108828,0,0
109123,0,0
109325,0,0
109830,0,0
110007,0,0
110411,0,0
110613,0,0
111009,0,0
111211,0,0
111312,0,0
111413,0,0
111514,0,0
111716,0,0
112112,0,0
112314,0,0
112516,0,0
112819,0,0
112920,0,0
113215,0,0
113316,0,0
113417,0,0
113619,0,0
113821,0,0
113922,0,0
114116,0,0
114217,0,0
114318,0,0
114419,0,0
114621,0,0
114823,0,0
114924,0,0
115017,0,0
115219,0,0
115320,0,0
115724,0,0
115825,0,0
116120,0,0
116221,0,0
116423,0,0
116524,0,0
116726,0,0
117021,0,0
117122,0,0
117324,0,0
117728,0,0
117930,0,0
118023,0,0
118124,0,0
118225,0,0
118528,0,0
118730,0,0
118831,0,0
118932,0,0
119025,0,0
119126,0,0
119732,0,0
119833,0,0
120010,0,0
120111,0,0
120212,0,0
120414,0,0
120515,0,0
120717,0,0
121315,0,0
121416,0,0
121618,0,0
121719,0,0
121820,0,0
121921,0,0
122317,0,0
122418,0,0
122620,0,0
122822,0,0
123117,0,0
123420,0,0
123521,0,0
123723,0,0
123824,0,0
123925,0,0
124220,0,0
124422,0,0
124624,0,0
124826,0,0
125222,0,0
125424,0,0
125525,0,0
126325,0,0
126426,0,0
126628,0,0
126931,0,0
127226,0,0
127327,0,0
127630,0,0
127731,0,0
127832,0,0
127933,0,0
128026,0,0
128127,0,0
128329,0,0
128632,0,0
128935,0,0
129028,0,0
129129,0,0
129331,0,0
129432,0,0
129533,0,0
129634,0,0
129937,0,0
130013,0,0
130114,0,0
130316,0,0
130417,0,0
130518,0,0
130619,0,0
130720,0,0
130821,0,0
130922,0,0
131217,0,0
131419,0,0
131621,0,0
131722,0,0
131823,0,0
131924,0,0
132017,0,0
132118,0,0
133019,0,0
133625,0,0
133827,0,0
133928,0,0
134021,0,0
134223,0,0
134324,0,0
134425,0,0
134627,0,0
134728,0,0
134829,0,0
135124,0,0
135225,0,0
135528,0,0
135629,0,0
135730,0,0
135932,0,0
136126,0,0
136227,0,0
136631,0,0
136732,0,0
136833,0,0
137027,0,0
137128,0,0
137229,0,0
137431,0,0
137532,0,0
137633,0,0
137936,0,0
138130,0,0
138231,0,0
138332,0,0
138534,0,0
138837,0,0
139233,0,0
139435,0,0
139637,0,0
139839,0,0
140117,0,0
140319,0,0
140420,0,0
140824,0,0
140925,0,0
141119,0,0
141422,0,0
141826,0,0
142424,0,0
142828,0,0
143224,0,0
143325,0,0
143426,0,0
143527,0,0
143830,0,0
144125,0,0
144226,0,0
144428,0,0
144731,0,0
144832,0,0
144933,0,0
145127,0,0
145531,0,0
145632,0,0
145834,0,0
146129,0,0
146331,0,0
146432,0,0
146533,0,0
146634,0,0
146735,0,0
146836,0,0
146937,0,0
147030,0,0
147636,0,0
147737,0,0
148032,0,0
148133,0,0
148335,0,0
148436,0,0
148840,0,0
148941,0,0
149236,0,0
149337,0,0
149539,0,0
149741,0,0
149842,0,0
150019,0,0
150423,0,0
150524,0,0
150625,0,0
150726,0,0
150928,0,0
151021,0,0
151223,0,0
151324,0,0
151425,0,0
151526,0,0
151627,0,0
151728,0,0
151829,0,0
151930,0,0
152225,0,0
152427,0,0
152831,0,0
153025,0,0
153126,0,0
153227,0,0
153429,0,0
153631,0,0
153732,0,0
153833,1,0
153934,1,0
154229,1,0
154330,1,0
154431,1,0
154532,1,0
154734,1,0
154835,1,0
154936,1,0
155231,1,0
155635,1,0
155938,1,0
156031,1,0
156233,1,0
156334,1,0
156435,1,0
156536,1,0
156637,1,0
157336,1,0
157437,1,0
157942,1,0
158035,1,0
158136,1,0
158338,1,0
158540,1,0
158843,1,0
159138,1,0
159239,1,0
159340,1,0
159441,1,0
159744,1,0
159845,1,0
159946,1,0
160123,1,0
160729,1,0
160830,1,0
160931,1,0
161327,1,0
161630,1,0
161731,1,0
161832,1,0
162026,1,0
162228,1,0
162329,1,0
162733,1,0
162935,1,0
163129,1,0
163331,1,0
163432,1,0
163836,1,0
164030,1,0
164131,1,0
164636,1,0
164939,1,0
165032,1,0
165234,1,0
165436,1,0
165638,1,0
165840,1,0
165941,1,0
166438,1,0
166640,1,0
167036,1,0
167238,1,0
167440,1,0
167743,1,0
168038,1,0
168139,1,0
168240,1,0
168341,1,0
168745,1,0
168947,1,0
169040,1,0
169141,1,0
169343,1,0
169444,1,0
169545,1,0
169747,1,0
169949,1,0
170631,1,0
170934,1,0
171128,1,0
171330,1,0
171431,1,0
171532,1,0
171633,1,0
171734,1,0
172029,1,0
172130,1,0
172332,1,0
172433,1,0
172534,1,0
172635,1,0
172938,1,0
173132,1,0
173233,1,0
173334,1,0
173435,1,0
173536,1,0
173637,1,0
173738,1,0
173839,1,0
173940,1,0
174437,1,0
174841,1,0
175035,1,0
175136,1,0
175237,1,0
175338,1,0
175439,1,0
175540,1,0
175742,1,0
176037,1,0
176239,1,0
176441,1,0
176542,1,0
176744,1,0
176845,1,0
177140,1,0
177241,1,0
177342,1,0
177645,1,0
177746,1,0
178142,1,0
178243,1,0
178647,1,0
178748,1,0
178849,1,0
178950,1,0
179245,1,0
179346,1,0
179548,1,0
179952,1,0
180129,1,0
180230,1,0
180432,1,0
180533,1,0
180735,1,0
180836,1,0
180937,1,0
181131,1,0
181232,1,0
181636,1,0
182032,1,0
182436,1,0
182739,1,0
182840,1,0
183034,1,0
183337,1,0
183741,1,0
185038,1,0
185139,1,0
185341,1,0
185442,1,0
185846,1,0
185947,1,0
186040,1,0
186141,1,0
186444,1,0
186545,1,0
186848,1,0
186949,1,0
187143,1,0
187345,1,0
187547,1,0
187850,1,0
188145,1,0
188347,1,0
188448,1,0
188549,1,0
188751,1,0
189349,1,0
189450,1,0
189652,1,0
190031,1,0
190132,1,0
191033,1,0
191235,1,0
191336,1,0
191437,1,0
191841,1,0
191942,1,0
192035,1,0
192136,1,0
192237,1,0
192439,1,0
192540,1,0
192641,1,0
192843,1,0
193239,1,0
193441,1,0
193845,1,0
194140,1,0
194443,1,0
194645,1,0
194746,1,0
194847,1,0
195041,1,0
195445,1,0
195647,1,0
195849,1,0
195950,1,0
196144,1,0
196346,1,0
196750,1,0
196851,1,0
196952,1,0
197348,1,0
197449,1,0
197550,1,0
197651,1,0
198047,1,0
198249,1,0
198350,1,0
198451,1,0
198653,1,0
198855,1,0
199150,1,0
199251,1,0
199352,1,0
199453,1,0
199655,1,0
199958,1,0
200008,1,0
200109,1,0
200210,1,0
200311,1,0
200513,1,0
200614,1,0
200917,1,0
201111,1,0
201414,1,0
201515,1,0
201717,1,0
201818,1,0
202113,1,0
202719,1,0
202820,1,0
203418,1,0
203721,1,0
203923,1,0
204016,1,0
204218,1,0
204319,1,0
204420,1,0
204521,1,0
204622,1,0
205119,1,0
205220,1,0
205725,1,0
205826,1,0
206222,1,0
206323,1,0
206525,1,0
206727,1,0
206828,1,0
206929,1,0
207123,1,0
207426,1,0
207628,1,0
208024,1,0
208125,1,0
208226,1,0
208327,1,0
208428,1,0
208630,1,0
209127,1,0
209228,1,0
209329,1,0
209531,1,0
209834,1,0
209935,1,0
210011,1,0
210112,1,0
210415,1,0
210617,1,0
211114,1,0
211215,1,0
211316,0,0
211417,0,0
211619,0,0
211720,0,0
211821,0,0
211922,0,0
212015,0,0
212116,0,0
212217,0,0
212318,0,0
212419,0,0
212823,0,0
213017,0,0
213421,0,0
213522,0,0
214019,0,0
214221,0,0
214423,0,0
214524,0,0
214625,0,0
214726,0,0
217126,0,0
217429,0,0
219231,0,0
220721,0,0
221218,0,0
221319,0,0
223929,0,0
224022,0,0
227432,0,0
227533,0,0
228434,0,0
231928,0,0
233326,0,0
236130,0,0
237334,0,0
238033,0,0
239136,0,0
239944,0,0
245333,0,0
246133,0,0
248238,0,0
248339,0,0
249947,0,0
250427,0,0
250932,0,0
251833,0,0
255639,0,0
255740,0,0
256540,0,0
257542,0,0
257845,0,0
257946,0,0
263436,0,0
268749,0,0
268850,0,0
270332,0,0
274542,0,0
275645,0,0
280739,0,0
280941,0,0
281135,0,0
283543,0,0
284646,0,0
285345,0,0
285446,0,0
286347,0,0
286650,0,0
287248,0,0
289555,0,0
290136,0,0
293748,0,0
295146,0,0
297655,0,0
298051,0,0
298455,0,0
299154,0,0
299760,0,0
300618,0,0
300719,0,0
303119,0,0
303624,0,0
304020,0,0
304727,0,0
305830,0,0
307127,0,0
308129,0,0
308331,0,0
309636,0,0
310621,0,0
311320,0,0
314225,0,0
316633,0,0
316835,0,0
317332,0,0
318637,0,0
320826,0,0
321323,0,0
322224,0,0
325129,0,0
329440,0,0
329844,0,0
330324,0,0
333330,0,0
334635,0,0
336841,0,0
339847,0,0
341834,0,0
342129,0,0
346137,0,0
346945,0,0
348545,0,0
349244,0,0
350330,0,0
351938,0,0
352132,0,0
352738,0,0
353740,0,0
355239,0,0
355542,0,0
355845,0,0
356948,0,0
358144,0,0
360030,0,0
361234,0,0
361941,0,0
362034,0,0
365343,0,0
366042,0,0
366446,0,0
368551,0,0
368753,0,0
371843,0,0
376247,0,0
377451,0,0
378756,0,0
378857,0,0
379657,0,0
380036,0,0
381038,0,0
381543,0,0
382242,0,0
385046,0,0
385450,0,0
386250,0,0
387959,0,0
389357,0,0
390645,0,0
391748,0,0
392447,0,0
392750,0,0
393247,0,0
393550,0,0
394956,0,0
395251,0,0
395756,0,0
395958,0,0
397154,0,0
397760,0,0
397861,0,0
401422,0,0
406432,0,0
406836,0,0
412528,0,0
413934,0,0
414229,0,0
415837,0,0
419239,0,0
421226,0,0
422632,0,0
424939,0,0
429040,0,0
432332,0,0
433839,0,0
436239,0,0
436845,0,0
441939,0,0
445543,0,0
448347,0,0
449753,0,0
453441,0,0
453542,0,0
454140,0,0
456346,0,0
459453,0,0
461743,0,0
462139,0,0
463040,0,0
465852,0,0
467351,0,0
468050,0,0
469961,0,0
473952,0,0
475855,0,0
479762,0,0
480141,0,0
481042,0,0
481951,0,0
485757,0,0
486759,0,0
492754,0,0
495255,0,0
497865,0,0
499566,0,0
500222,0,0
