lh.aparc.a2009s.area,lh_G_and_S_frontomargin_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_paracentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-ventral_area,lh_G_cuneus_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Triangul_area,lh_G_front_middle_area,lh_G_front_sup_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_insular_short_area,lh_G_occipital_middle_area,lh_G_occipital_sup_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Parahip_area,lh_G_orbital_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Supramar_area,lh_G_parietal_sup_area,lh_G_postcentral_area,lh_G_precentral_area,lh_G_precuneus_area,lh_G_rectus_area,lh_G_subcallosal_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temporal_inf_area,lh_G_temporal_middle_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-post_area,lh_Pole_occipital_area,lh_Pole_temporal_area,lh_S_calcarine_area,lh_S_central_area,lh_S_cingul-Marginalis_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_sup_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_post_area,lh_S_front_inf_area,lh_S_front_middle_area,lh_S_front_sup_area,lh_S_interm_prim-Jensen_area,lh_S_intrapariet_and_P_trans_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_sup_and_transversal_area,lh_S_occipital_ant_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_orbital_lateral_area,lh_S_orbital_med-olfact_area,lh_S_orbital-H_Shaped_area,lh_S_parieto_occipital_area,lh_S_pericallosal_area,lh_S_postcentral_area,lh_S_precentral-inf-part_area,lh_S_precentral-sup-part_area,lh_S_suborbital_area,lh_S_subparietal_area,lh_S_temporal_inf_area,lh_S_temporal_sup_area,lh_S_temporal_transverse_area,lh_WhiteSurfArea_area
100206,1098,1093,820,1156,602,2078,1265,1067,579,383,1946,1088,213,916,4736,5806,388,484,1895,1572,1421,2304,1011,2012,2193,2087,2554,2026,2321,2021,758,465,398,1813,437,871,2299,2113,218,237,949,1424,1416,2901,2354,857,425,1026,1285,852,373,2485,1719,2257,452,2749,1240,989,605,735,1647,345,676,1073,2066,1085,2438,1286,1253,589,875,838,3786,386,104183
100307,627,785,878,1104,521,1678,807,837,381,196,1235,970,133,661,3053,4715,273,410,1248,747,1453,1788,801,1618,1715,1740,1798,1429,1633,1496,620,430,298,1461,458,763,1939,1606,262,218,866,1077,1215,1475,2356,822,359,1030,1091,478,175,1169,1258,1664,177,2131,745,719,640,930,1494,210,460,839,1458,758,1503,1070,819,318,718,927,3433,342,79510
100408,1014,1050,790,1213,586,1845,1035,1043,475,205,1296,1080,162,844,3216,5117,424,475,1213,1041,1302,2172,1792,1720,2044,2035,1925,1709,1705,1767,861,384,327,1487,461,726,2279,2385,299,252,919,1074,1380,1888,2314,765,380,967,1394,493,285,1708,1307,2324,467,2478,623,867,574,924,1621,348,810,882,1930,1002,2397,989,1110,435,528,860,3759,357,91914
100610,919,1269,883,813,548,1593,1088,949,410,280,1371,934,177,914,3199,4901,459,497,1258,1121,1554,2346,1002,1781,1839,2377,2615,1472,1922,1957,767,590,389,1421,445,776,2161,2253,294,261,911,1695,1473,2634,2546,724,361,1151,1242,680,372,1675,1465,2046,366,2404,1019,858,773,858,1367,299,700,1005,1614,821,2214,919,808,490,696,906,3858,325,"93075,8"
101006,687,1059,650,708,316,1120,863,691,306,220,1167,897,155,819,2071,4013,221,361,1018,790,1153,1940,961,1300,1289,1682,1684,1190,1161,1444,642,386,328,1227,257,644,1539,1432,196,258,711,1209,1162,2018,1860,610,309,1027,1111,722,294,1736,952,1657,175,1944,659,856,566,339,1326,258,548,765,1419,481,1822,715,754,436,687,658,2824,284,"71736,4"
101107,789,1115,769,905,427,1528,979,777,423,217,1554,666,181,565,2878,4248,300,377,1314,906,972,2075,668,1659,1206,1513,1735,1470,1917,1590,638,291,326,1200,447,554,1340,1694,216,213,757,1145,1039,1877,2230,692,364,954,1179,444,338,1267,1263,2004,97,1969,794,803,568,454,1427,274,671,1006,1218,592,1681,1208,990,344,550,992,3286,234,"77354,6"
101309,1167,1356,1031,1206,687,1782,1066,938,454,166,1272,1076,285,918,3546,5700,327,456,1026,1093,1224,1921,1035,1891,1624,2110,2125,1388,1801,1348,718,570,469,1747,445,812,2099,2148,234,346,865,1338,1258,1963,2319,788,410,1144,1493,808,284,1608,1233,2128,212,2423,1000,781,612,633,1627,347,681,1034,1814,917,1841,944,999,452,593,760,4476,293,"91687,2"
101410,1108,1275,1344,1183,644,1860,1156,1517,566,415,1192,1322,236,786,3774,5473,299,390,1623,1484,1782,2528,883,1972,2095,3108,2347,1537,2087,1700,685,422,431,1847,522,781,1974,2454,278,167,944,1356,1362,2493,2582,993,464,1273,1423,588,475,2215,1376,1804,218,3297,925,1220,617,1099,2038,425,452,1298,613,2317,2504,1117,1101,567,807,757,4376,383,102725
101915,743,1310,851,887,467,1442,839,880,350,176,1125,1115,205,930,2420,4252,293,390,1321,1092,1769,2356,797,1349,1562,1730,1995,1351,1407,1756,561,233,308,1359,513,532,2110,1795,194,186,707,1064,1403,1961,1999,594,378,803,976,722,310,1883,781,1645,445,2114,666,882,547,868,1434,179,565,910,1256,739,2168,1232,899,355,826,1034,3931,265,"81488,9"
102008,966,1243,904,1098,634,1764,1049,874,450,176,1268,1210,247,759,3495,5620,392,482,1825,1060,1480,2257,880,2044,1761,2526,2222,1525,1738,2163,702,468,367,1539,340,851,1728,2274,239,251,1018,1518,1362,2121,2028,682,362,1176,1284,568,391,1853,1064,2042,454,2187,1064,1115,506,683,1962,281,750,1122,1344,674,2277,1085,978,380,859,1037,4071,172,"93344,1"
