lh.aparc.a2009s.thickness,lh_G_and_S_frontomargin_thickness,lh_G_and_S_occipital_inf_thickness,lh_G_and_S_paracentral_thickness,lh_G_and_S_subcentral_thickness,lh_G_and_S_transv_frontopol_thickness,lh_G_and_S_cingul-Ant_thickness,lh_G_and_S_cingul-Mid-Ant_thickness,lh_G_and_S_cingul-Mid-Post_thickness,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-ventral_thickness,lh_G_cuneus_thickness,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Triangul_thickness,lh_G_front_middle_thickness,lh_G_front_sup_thickness,lh_G_Ins_lg_and_S_cent_ins_thickness,lh_G_insular_short_thickness,lh_G_occipital_middle_thickness,lh_G_occipital_sup_thickness,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_med-Lingual_thickness,lh_G_oc-temp_med-Parahip_thickness,lh_G_orbital_thickness,lh_G_pariet_inf-Angular_thickness,lh_G_pariet_inf-Supramar_thickness,lh_G_parietal_sup_thickness,lh_G_postcentral_thickness,lh_G_precentral_thickness,lh_G_precuneus_thickness,lh_G_rectus_thickness,lh_G_subcallosal_thickness,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temporal_inf_thickness,lh_G_temporal_middle_thickness,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-post_thickness,lh_Pole_occipital_thickness,lh_Pole_temporal_thickness,lh_S_calcarine_thickness,lh_S_central_thickness,lh_S_cingul-Marginalis_thickness,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_sup_thickness,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_post_thickness,lh_S_front_inf_thickness,lh_S_front_middle_thickness,lh_S_front_sup_thickness,lh_S_interm_prim-Jensen_thickness,lh_S_intrapariet_and_P_trans_thickness,lh_S_oc_middle_and_Lunatus_thickness,lh_S_oc_sup_and_transversal_thickness,lh_S_occipital_ant_thickness,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_med_and_Lingual_thickness,lh_S_orbital_lateral_thickness,lh_S_orbital_med-olfact_thickness,lh_S_orbital-H_Shaped_thickness,lh_S_parieto_occipital_thickness,lh_S_pericallosal_thickness,lh_S_postcentral_thickness,lh_S_precentral-inf-part_thickness,lh_S_precentral-sup-part_thickness,lh_S_suborbital_thickness,lh_S_subparietal_thickness,lh_S_temporal_inf_thickness,lh_S_temporal_sup_thickness,lh_S_temporal_transverse_thickness,lh_MeanThickness_thickness
100206,"2,666","2,57","2,257","2,891","2,559","3,062","3,005","2,7","3,141","2,354","2,142","2,997","2,907","2,751","2,721","2,873","3,353","3,717","2,487","2,177","3,146","2,337","3,302","2,836","2,747","2,78","2,252","2,272","2,746","2,688","2,979","2,054","2,722","3,198","3,684","2,912","3,141","3,123","2,336","2,676","2,682","2,137","3,228","2,234","2,087","2,365","3,134","2,855","2,595","2,843","2,231","2,621","2,375","2,605","2,586","2,423","2,113","2,184","2,426","2,799","2,393","2,567","2,623","2,961","2,348","1,847","2,301","2,745","2,458","2,459","2,445","2,831","2,747","2,614","2,63693"
100307,"2,83","2,517","2,33","2,78","3,033","3,086","3,042","2,88","3,234","2,266","1,95","3,017","3,203","2,879","2,876","3,02","3,706","3,289","2,647","2,048","3,248","2,08","2,728","3,219","2,697","2,754","2,276","2,24","2,939","2,731","3,144","2,207","2,704","3,259","3,344","2,928","3,17","3,252","2,555","3,025","2,609","1,929","3,323","2,109","2,208","2,419","3,232","3,128","3,111","3,027","2,383","2,681","2,606","2,675","2,494","2,343","2,173","2,264","2,483","2,773","2,583","2,622","2,574","3,122","2,285","2,484","2,396","2,738","2,699","3,182","2,417","2,577","2,713","2,597","2,70653"
100408,"2,577","2,307","2,305","2,712","2,574","2,977","2,859","2,706","3,12","1,995","2,092","2,813","2,777","2,58","2,619","2,782","2,823","3,855","2,541","2,22","3,026","2,303","2,609","2,741","2,57","2,721","2,348","2,23","2,761","2,629","2,704","1,229","2,796","3,189","3,194","2,764","2,933","2,936","2,281","2,464","2,419","2,229","3,085","1,993","2,138","2,372","2,624","2,697","2,649","3,214","2,358","2,463","2,42","2,554","2,348","2,395","2,06","2,117","2,376","2,512","2,576","2,309","2,541","2,798","2,332","1,6","2,215","2,47","2,494","3,074","2,528","2,538","2,581","2,537","2,56161"
100610,"2,675","2,446","2,514","2,876","2,774","3,123","2,976","2,7","3,202","2,14","2,133","3,011","2,952","3,091","2,786","3,051","3,03","3,692","2,596","2,205","2,823","2,078","3,552","2,896","2,58","2,872","2,363","2,283","3,106","2,661","2,666","1,734","2,647","3,236","3,402","2,675","3,161","3,176","2,416","2,711","2,479","2,013","3,411","2,128","2,218","2,247","3,258","2,756","2,904","2,94","1,959","2,574","2,536","2,608","2,389","2,297","2,247","2,209","2,277","2,807","2,755","2,6","2,37","2,92","2,421","2,087","2,243","2,793","2,499","2,939","2,457","2,69","2,697","2,346","2,65715"
101006,"2,473","2,51","2,424","2,581","2,536","2,999","2,746","2,601","2,88","2,095","1,926","2,927","2,563","2,76","2,83","2,967","3,492","3,651","2,531","2,116","2,982","1,878","2,894","2,741","2,61","2,642","2,217","2,021","3,115","2,533","2,688","2,761","2,894","3,171","3,179","2,83","2,925","3,029","2,523","2,536","2,423","2,019","3,127","1,984","2,235","2,143","2,541","2,554","2,73","2,756","2,174","2,512","2,383","2,617","2,541","2,289","2,185","2,287","2,527","2,921","2,396","2,286","2,409","2,766","2,246","1,89","2,224","2,652","2,628","2,648","2,318","2,675","2,527","2,767","2,55864"
101107,"2,675","2,837","2,656","2,834","2,463","3,075","2,828","2,676","3,069","2,433","2,15","3,091","2,912","2,948","2,902","3,018","3,641","3,947","2,907","2,35","3,175","2,312","3,41","2,951","2,879","2,965","2,555","2,577","3,15","2,799","2,713","2,369","2,662","3,437","3,874","3,033","3,219","3,315","2,412","2,552","2,476","2,37","3,418","2,172","2,301","2,649","3,111","2,815","2,817","3,191","2,372","2,675","2,664","2,801","3,178","2,411","2,271","2,581","2,708","2,787","2,825","2,695","2,725","2,852","2,704","1,956","2,402","2,791","2,648","3,241","2,723","2,955","2,772","2,887","2,77935"
101309,"2,581","2,551","2,489","2,779","2,661","3,124","2,966","2,791","3,123","2,082","2,083","2,912","2,716","2,667","2,689","2,908","3,263","3,333","2,696","2,398","2,95","1,957","3,189","2,706","2,79","2,773","2,61","2,206","2,753","2,858","2,726","1,61","2,588","3,143","3,346","2,943","3,24","3,089","2,389","2,563","2,483","2,118","3,037","2,061","2,176","2,548","2,906","2,749","2,914","2,892","2,5","2,546","2,733","2,7","2,572","2,478","2,268","2,489","2,667","2,879","2,397","2,493","2,324","2,697","2,642","2,028","2,3","2,657","2,602","2,704","2,719","2,936","2,884","2,445","2,66892"
101410,"2,675","2,499","2,349","2,501","2,791","2,966","2,674","2,733","3,151","1,233","1,812","2,779","3,007","2,549","2,745","2,974","3,372","3,479","2,448","2,067","2,846","1,938","2,899","3,067","2,714","2,625","2,315","2,178","2,655","2,608","2,789","2,077","2,734","3,08","3,705","2,722","2,894","2,834","2,668","2,582","2,469","1,946","3,069","2,014","2,13","2,522","2,769","2,619","2,865","2,946","1,917","2,476","2,507","2,652","2,387","2,267","2,06","2,241","2,356","2,749","2,548","2,357","2,579","2,934","2,276","0,937","2,356","2,514","2,373","2,865","2,521","2,528","2,521","2,474","2,5352"
101915,"2,649","2,429","2,503","3,076","2,92","3,172","3,083","2,855","3,056","2,14","2,169","2,829","2,965","2,833","2,878","3,113","3,767","3,8","2,635","2,317","3,078","2,315","3,071","2,956","2,677","2,839","2,385","2,323","3,227","2,711","2,697","2,033","3,106","3,152","2,889","2,755","3,062","3,165","2,741","2,481","2,54","2,11","3,27","2,186","2,249","2,358","2,903","2,975","2,905","2,9","2,16","2,583","2,588","2,744","2,289","2,349","2,071","2,392","2,528","2,796","2,609","2,498","2,573","2,957","2,376","1,651","2,344","2,79","2,585","2,913","2,558","2,771","2,671","3,039","2,70357"
102008,"2,301","2,415","2,415","2,697","2,493","2,785","2,891","2,647","2,971","2,344","2,015","2,783","2,62","2,651","2,667","2,779","2,458","3,109","2,522","2,034","2,967","2,019","2,73","2,639","2,674","2,813","2,236","2,332","2,796","2,601","2,518","1,609","2,558","3,029","3,092","2,822","2,88","3,216","2,379","2,658","2,649","2,074","3,211","2,071","2,029","2,381","3,038","2,781","2,765","3,227","1,963","2,503","2,411","2,554","2,521","2,287","2,055","2,243","2,734","2,747","2,644","2,519","2,367","2,539","2,328","1,947","2,295","2,659","2,478","2,762","2,468","2,488","2,72","2,31","2,56049"
