rh.aparc.a2009s.volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med_and_Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume
100206,2713,2426,2307,3302,3024,7452,3901,3558,2171,1079,4453,4820,1151,2408,14350,20557,1406,2308,5921,3658,5854,6303,4436,7717,9322,6390,5822,4568,8641,8048,1868,949,1178,7611,2593,1898,9425,8991,711,378,2198,6132,5768,5669,5368,2576,1227,2209,2584,2508,1163,4483,5857,5384,1336,5387,2109,2769,1093,1891,3589,866,1940,3370,4394,2269,3990,3789,2362,709,2553,2160,14681,747
100307,2102,1998,2531,3014,2386,6394,3258,2661,1327,469,3221,3827,746,2821,9404,17606,1045,1841,5853,2987,5476,4274,3428,5978,6066,7003,3051,3217,6232,5567,1613,679,1046,5904,1932,1989,8690,8863,754,380,2346,3737,5965,2812,4733,2242,991,2237,2442,2384,458,3490,4133,4630,762,4458,1492,2459,1531,2192,2694,996,1237,2327,3568,1319,3216,2265,2266,369,1755,2434,9708,545
100408,2085,2398,2675,3489,2638,6740,4069,2859,1431,553,3894,3142,994,3230,10409,18165,1382,2161,5485,3726,6267,5002,3775,6948,9366,5939,3656,4403,6742,6551,2095,481,1219,5779,1953,1829,9036,9241,496,474,2106,6074,5311,3411,4581,2179,1011,2245,2352,1745,616,4511,4357,3904,1186,5000,1648,2699,885,2081,3531,753,1413,2966,4011,1522,3941,3373,1829,436,2283,2422,10639,519
100610,2761,2823,2405,2649,3257,7231,3478,2818,1648,890,4150,2721,1066,3374,9254,19748,1370,2419,4673,3723,4459,6757,4416,8105,9928,6860,6466,3793,7916,7159,2194,720,960,6112,2042,1899,7679,11157,597,356,2270,5246,6557,5882,4687,2030,1142,2712,2452,1554,731,3832,5079,3911,1081,6768,1275,2421,1135,1569,3322,623,1785,2785,3545,1721,2540,2560,2758,395,1489,2435,11670,413
101006,1786,1889,1512,2538,2296,4779,2827,2435,1208,591,2589,2602,750,3295,6329,13615,1070,1629,4039,3085,3407,3661,4311,5633,5106,5625,4780,3118,5478,5889,1711,1019,952,4479,1642,1466,5389,7037,680,405,2221,3873,5893,3271,4195,1435,902,1606,2196,1938,1018,2722,3184,4537,578,4546,1594,1446,858,895,2674,593,1539,2168,2858,3456,3413,1478,1834,516,1900,2056,8558,523
101107,2655,3379,2886,2666,2514,5035,3459,3033,1164,725,3396,3629,820,2478,9720,16603,1119,1935,6229,3642,5449,4177,3930,8132,8582,5513,4710,4066,7526,5338,1661,492,773,5017,1994,1546,4803,8988,1088,503,1734,4494,5955,3619,4299,2213,1378,1943,2386,1534,762,3452,4115,4819,460,4892,1559,1792,1698,1643,3404,665,1441,2749,3451,1528,3827,2763,2376,960,1610,1761,10601,350
101309,2404,2483,2410,3291,2513,6566,4572,3494,1979,471,2962,3616,892,3535,11393,19223,1335,2129,5933,2966,4621,4399,4675,6419,7194,8165,4586,4159,7197,5977,1781,852,1380,6751,2007,2497,7219,9997,782,444,2547,4549,4439,3462,4200,2255,1104,2009,2903,2699,789,5446,3868,4727,758,5069,1491,2443,1240,1991,3034,544,1106,2902,3450,2524,3737,3085,2499,180,2554,3047,13165,524
101410,3059,3234,2025,4215,3765,7139,3775,3655,2092,706,2512,4258,1206,2047,12640,18159,1581,1998,5212,4473,6466,5551,4027,8801,9064,7696,6263,4046,6332,8102,2031,406,1499,8156,2547,2251,6746,10834,592,395,2740,4537,6271,3655,4944,3060,1226,2693,2354,1727,1562,4452,5245,5538,1986,6438,1076,4262,1610,2424,4401,987,1743,4067,1715,1774,3318,3664,2230,1187,4487,1917,14855,556
101915,2011,3258,2205,2945,2265,5599,3200,2613,1901,640,3349,4023,648,2349,9341,16516,1183,1682,4745,3656,6318,5498,4022,6731,8200,6324,5398,3748,6346,5585,1720,322,914,5303,1710,1423,4999,10886,595,253,2246,5225,5819,4496,3739,1703,958,1927,2077,1425,974,4058,3417,4048,838,5605,919,1908,1555,1584,3119,800,1355,2520,3720,1651,2960,3174,1981,628,1887,1864,12537,598
102008,1822,2696,2251,3419,2771,7407,3722,2744,1618,816,3513,3731,965,2339,10463,18416,1190,1838,5360,4105,6198,6550,4493,8071,7643,7840,5001,4430,7516,7000,1802,1148,799,6193,1985,2010,7975,9314,750,581,2478,5426,4765,4258,3907,1960,1540,2261,2831,2383,1032,5242,3299,4827,1065,5080,1964,2574,1025,2158,3549,796,1533,2818,2956,1220,4023,3614,1674,768,2408,2431,12446,559
