,lh_G_and_S_frontomargin_thickness,lh_G_and_S_occipital_inf_thickness,lh_G_and_S_paracentral_thickness,lh_G_and_S_subcentral_thickness,lh_G_and_S_transv_frontopol_thickness,lh_G_and_S_cingul-Ant_thickness,lh_G_and_S_cingul-Mid-Ant_thickness,lh_G_and_S_cingul-Mid-Post_thickness,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-ventral_thickness,lh_G_cuneus_thickness,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Triangul_thickness,lh_G_front_middle_thickness,lh_G_front_sup_thickness,lh_G_Ins_lg_and_S_cent_ins_thickness,lh_G_insular_short_thickness,lh_G_occipital_middle_thickness,lh_G_occipital_sup_thickness,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_med-Lingual_thickness,lh_G_oc-temp_med-Parahip_thickness,lh_G_orbital_thickness,lh_G_pariet_inf-Angular_thickness,lh_G_pariet_inf-Supramar_thickness,lh_G_parietal_sup_thickness,lh_G_postcentral_thickness,lh_G_precentral_thickness,lh_G_precuneus_thickness,lh_G_rectus_thickness,lh_G_subcallosal_thickness,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temporal_inf_thickness,lh_G_temporal_middle_thickness,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-post_thickness,lh_Pole_occipital_thickness,lh_Pole_temporal_thickness,lh_S_calcarine_thickness,lh_S_central_thickness,lh_S_cingul-Marginalis_thickness,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_sup_thickness,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_post_thickness,lh_S_front_inf_thickness,lh_S_front_middle_thickness,lh_S_front_sup_thickness,lh_S_interm_prim-Jensen_thickness,lh_S_intrapariet_and_P_trans_thickness,lh_S_oc_middle_and_Lunatus_thickness,lh_S_oc_sup_and_transversal_thickness,lh_S_occipital_ant_thickness,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_med_and_Lingual_thickness,lh_S_orbital_lateral_thickness,lh_S_orbital_med-olfact_thickness,lh_S_orbital-H_Shaped_thickness,lh_S_parieto_occipital_thickness,lh_S_pericallosal_thickness,lh_S_postcentral_thickness,lh_S_precentral-inf-part_thickness,lh_S_precentral-sup-part_thickness,lh_S_suborbital_thickness,lh_S_subparietal_thickness,lh_S_temporal_inf_thickness,lh_S_temporal_sup_thickness,lh_S_temporal_transverse_thickness,rh_G_and_S_frontomargin_thickness,rh_G_and_S_occipital_inf_thickness,rh_G_and_S_paracentral_thickness,rh_G_and_S_subcentral_thickness,rh_G_and_S_transv_frontopol_thickness,rh_G_and_S_cingul-Ant_thickness,rh_G_and_S_cingul-Mid-Ant_thickness,rh_G_and_S_cingul-Mid-Post_thickness,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-ventral_thickness,rh_G_cuneus_thickness,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Triangul_thickness,rh_G_front_middle_thickness,rh_G_front_sup_thickness,rh_G_Ins_lg_and_S_cent_ins_thickness,rh_G_insular_short_thickness,rh_G_occipital_middle_thickness,rh_G_occipital_sup_thickness,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Parahip_thickness,rh_G_orbital_thickness,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Supramar_thickness,rh_G_parietal_sup_thickness,rh_G_postcentral_thickness,rh_G_precentral_thickness,rh_G_precuneus_thickness,rh_G_rectus_thickness,rh_G_subcallosal_thickness,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temporal_inf_thickness,rh_G_temporal_middle_thickness,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-post_thickness,rh_Pole_occipital_thickness,rh_Pole_temporal_thickness,rh_S_calcarine_thickness,rh_S_central_thickness,rh_S_cingul-Marginalis_thickness,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_sup_thickness,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_post_thickness,rh_S_front_inf_thickness,rh_S_front_middle_thickness,rh_S_front_sup_thickness,rh_S_interm_prim-Jensen_thickness,rh_S_intrapariet_and_P_trans_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_occipital_ant_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_parieto_occipital_thickness,rh_S_pericallosal_thickness,rh_S_postcentral_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_suborbital_thickness,rh_S_subparietal_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_transverse_thickness
615441,2.5340000000000003,2.522,2.334,2.782,2.641,2.833,2.681,2.565,3.093,1.125,2.052,2.872,2.6189999999999998,2.639,2.727,2.885,3.049,3.7510000000000003,2.655,2.181,2.886,2.135,3.04,2.883,2.659,2.82,2.305,2.144,2.9210000000000003,2.562,2.798,2.8489999999999998,2.6260000000000003,3.148,3.361,2.8289999999999997,2.977,3.095,2.705,3.015,2.573,2.125,3.0060000000000002,2.082,2.164,2.287,3.056,2.773,2.679,2.81,2.356,2.572,2.423,2.613,2.483,2.39,2.185,2.266,2.4459999999999997,2.4530000000000003,2.5660000000000003,2.363,2.497,2.83,2.392,0.882,2.191,2.693,2.593,2.455,2.476,2.7060000000000004,2.5610000000000004,2.376,2.7310000000000003,2.6180000000000003,2.3609999999999998,2.759,2.668,3.016,2.911,2.783,3.161,2.623,2.025,2.975,2.8110000000000004,2.772,2.7319999999999998,2.911,3.293,3.778,2.5789999999999997,2.1919999999999997,3.062,2.247,3.248,2.9019999999999997,2.773,2.701,2.339,2.137,2.8510000000000004,2.5660000000000003,2.7769999999999997,2.608,2.7430000000000003,3.235,3.233,2.827,3.128,3.238,2.426,2.661,2.54,2.004,3.3560000000000003,2.202,2.073,2.407,3.0260000000000002,2.6260000000000003,2.812,2.661,2.256,2.565,2.522,2.528,2.589,2.275,2.282,2.233,2.61,2.7430000000000003,2.582,2.526,2.501,2.662,2.411,1.3090000000000002,2.184,2.5,2.523,2.949,2.528,2.747,2.699,2.438
616645,2.421,2.44,2.485,2.609,2.386,2.9219999999999997,2.895,2.6010000000000004,2.9160000000000004,0.983,2.036,3.034,3.339,2.705,2.7910000000000004,3.095,3.5660000000000003,3.787,2.603,2.286,3.16,2.15,3.248,3.05,2.627,2.784,2.405,2.269,3.123,2.7560000000000002,2.801,2.112,2.6439999999999997,3.282,3.2939999999999996,2.8,3.305,3.1660000000000004,3.201,2.674,2.4219999999999997,2.208,3.3280000000000003,2.09,2.211,2.496,3.1180000000000003,2.912,2.7760000000000002,2.7030000000000003,2.18,2.397,2.278,2.572,2.405,2.27,1.9,2.095,2.299,2.5780000000000003,2.588,2.281,2.521,2.699,2.291,1.645,2.28,2.543,2.648,2.509,2.51,2.7760000000000002,2.662,2.451,2.6910000000000003,2.6660000000000004,2.5140000000000002,2.9530000000000003,2.5989999999999998,2.8160000000000003,3.0660000000000003,2.825,2.9960000000000004,2.533,1.909,3.095,3.076,2.7880000000000003,2.784,3.0610000000000004,3.2939999999999996,3.7319999999999998,2.595,2.122,3.1910000000000003,1.9669999999999999,3.136,2.955,2.755,2.792,2.395,2.207,3.1039999999999996,2.654,2.522,1.7109999999999999,2.7710000000000004,3.4939999999999998,3.1310000000000002,2.717,3.2089999999999996,3.216,2.8989999999999996,2.725,2.633,2.164,3.484,2.005,2.131,2.5780000000000003,3.1,2.824,2.963,2.697,2.2359999999999998,2.529,2.347,2.699,2.374,2.28,1.983,2.109,2.465,2.59,2.396,2.424,2.351,2.603,2.355,1.538,2.239,2.661,2.449,2.4930000000000003,2.7939999999999996,2.738,2.752,2.491
618952,2.6210000000000004,2.6239999999999997,2.7289999999999996,2.885,2.552,3.272,3.2060000000000004,2.978,3.355,1.6480000000000001,2.273,3.0780000000000003,2.988,2.8489999999999998,2.7880000000000003,2.985,3.508,3.6319999999999997,2.799,2.516,3.202,2.435,2.929,2.991,2.734,2.8739999999999997,2.552,2.273,3.043,2.842,2.786,2.7889999999999997,2.96,3.275,3.69,2.812,3.07,3.2539999999999996,2.5269999999999997,2.725,2.748,2.316,2.909,2.512,2.425,2.647,3.275,3.181,2.813,2.7560000000000002,2.596,2.572,2.52,2.658,2.45,2.509,2.414,2.434,2.431,2.5989999999999998,2.715,2.193,2.258,2.747,2.5,1.642,2.408,2.758,2.781,2.4930000000000003,2.717,2.74,2.755,2.7310000000000003,2.877,2.98,2.673,2.8339999999999996,2.685,3.095,3.1710000000000003,2.9219999999999997,3.135,2.965,2.205,3.3930000000000002,3.0589999999999997,3.148,2.91,3.134,3.5389999999999997,3.263,2.9810000000000003,2.725,3.2260000000000004,2.414,3.095,3.062,2.9589999999999996,2.998,2.63,2.458,3.197,2.8310000000000004,3.0,3.255,2.971,3.266,3.4330000000000003,2.8,3.3369999999999997,3.408,2.717,2.9619999999999997,2.66,2.327,3.4930000000000003,2.457,2.31,2.661,3.428,2.897,2.9330000000000003,2.929,2.324,2.6910000000000003,2.65,2.705,2.499,2.475,2.423,2.542,2.542,2.91,2.877,2.4859999999999998,2.31,2.875,2.556,1.9609999999999999,2.464,2.824,2.698,3.072,2.764,2.9539999999999997,2.867,3.092
650746,2.551,2.447,2.349,2.929,2.832,3.051,2.7680000000000002,2.611,3.0610000000000004,2.229,2.267,2.9789999999999996,2.7439999999999998,2.787,2.675,2.924,2.9789999999999996,3.365,2.475,2.084,2.83,2.129,2.497,2.8680000000000003,2.537,2.763,2.31,2.4530000000000003,3.017,2.572,2.8489999999999998,1.91,2.832,3.319,3.655,2.7689999999999997,3.347,3.2260000000000004,2.4419999999999997,2.657,2.574,2.083,3.5589999999999997,2.154,2.331,2.416,2.997,2.832,2.812,3.261,2.255,2.437,2.291,2.661,2.571,2.309,2.255,2.3,2.418,2.7430000000000003,2.4419999999999997,2.355,2.5069999999999997,2.597,2.339,2.096,2.2430000000000003,2.717,2.498,2.839,2.495,2.739,2.7710000000000004,2.521,2.5980000000000003,2.6510000000000002,2.29,2.873,2.531,2.935,2.782,2.588,3.0610000000000004,2.52,2.109,2.967,2.844,2.628,2.6889999999999996,2.8680000000000003,3.483,3.4360000000000004,2.592,2.2769999999999997,2.9610000000000003,2.013,2.821,2.862,2.57,2.6319999999999997,2.2230000000000003,2.3369999999999997,2.9530000000000003,2.481,2.637,2.78,2.818,3.259,3.339,2.682,3.135,3.193,2.36,2.26,2.539,2.0869999999999997,3.608,2.097,2.17,2.336,2.9539999999999997,2.898,2.785,3.1489999999999996,2.258,2.448,2.273,2.5980000000000003,2.127,2.1959999999999997,2.225,2.189,2.54,2.668,2.428,2.45,2.388,2.556,2.298,1.745,2.206,2.5180000000000002,2.326,2.7430000000000003,2.583,2.904,2.7489999999999997,2.577
662551,2.7760000000000002,2.655,2.4859999999999998,2.975,2.833,3.207,3.0780000000000003,2.787,3.0189999999999997,2.247,2.035,3.0869999999999997,2.998,2.917,2.855,3.115,3.4330000000000003,3.727,2.617,2.29,3.182,2.247,2.98,2.886,2.76,2.924,2.4219999999999997,2.202,2.9589999999999996,2.792,2.903,1.975,2.786,3.324,3.517,2.943,3.083,3.008,2.648,2.9810000000000003,2.5140000000000002,2.201,3.065,2.088,2.222,2.4330000000000003,3.116,2.923,3.022,2.716,2.2680000000000002,2.6260000000000003,2.6860000000000004,2.793,2.832,2.52,2.247,2.345,2.537,2.6910000000000003,2.675,2.367,2.391,2.773,2.398,1.989,2.401,2.915,2.551,2.9339999999999997,2.6510000000000002,2.91,2.747,2.665,2.657,2.657,2.471,2.92,2.7,3.167,2.997,2.7710000000000004,3.222,2.5869999999999997,1.903,3.0869999999999997,2.9819999999999998,2.9989999999999997,2.89,3.1039999999999996,3.116,3.4530000000000003,2.688,2.404,3.165,2.219,2.7539999999999996,3.054,2.898,2.931,2.5469999999999997,2.209,3.1210000000000004,2.8710000000000004,2.56,2.5660000000000003,3.127,3.438,3.197,3.023,3.2039999999999997,3.2969999999999997,2.625,2.545,2.6830000000000003,1.964,3.2569999999999997,2.074,2.239,2.576,2.971,2.975,2.859,2.7039999999999997,2.201,2.62,2.5269999999999997,2.7310000000000003,2.539,2.511,2.2030000000000003,2.346,2.525,2.7560000000000002,2.532,2.481,2.529,2.9410000000000003,2.516,1.751,2.4,2.858,2.5380000000000003,2.681,2.739,2.823,2.798,2.739
664757,2.6239999999999997,2.7030000000000003,2.481,2.839,2.688,3.1910000000000003,2.7910000000000004,2.739,3.293,1.431,2.211,2.887,3.153,2.7439999999999998,2.7439999999999998,2.9930000000000003,3.181,3.654,2.605,2.492,3.1719999999999997,2.392,2.7880000000000003,3.179,2.8369999999999997,2.832,2.512,2.5610000000000004,2.98,2.763,3.055,1.472,2.9160000000000004,3.23,3.4,2.766,3.304,3.258,2.7689999999999997,2.5340000000000003,2.67,2.23,3.342,2.166,2.069,2.609,3.361,2.924,2.727,2.967,2.301,2.477,2.423,2.638,2.456,2.475,2.363,2.37,2.497,2.68,2.645,2.7710000000000004,2.539,2.883,2.435,1.653,2.3609999999999998,2.7889999999999997,2.4859999999999998,2.9210000000000003,2.5669999999999997,2.763,2.72,2.573,2.635,2.739,2.4130000000000003,2.87,2.405,2.8480000000000003,3.0010000000000003,2.6710000000000003,3.1010000000000004,2.6910000000000003,2.036,2.951,3.141,2.8819999999999997,2.835,2.9389999999999996,3.167,3.095,2.915,2.497,3.165,2.173,3.037,3.028,2.8369999999999997,3.05,2.408,2.495,2.912,2.7060000000000004,2.697,2.011,3.14,3.431,3.305,2.93,3.2,3.325,2.52,2.785,2.715,2.1590000000000003,3.266,2.28,2.168,2.383,3.096,2.8930000000000002,2.742,2.758,2.43,2.5839999999999996,2.363,2.635,2.4859999999999998,2.416,2.318,2.41,2.722,2.778,2.5780000000000003,2.441,2.572,2.783,2.5660000000000003,1.4809999999999999,2.336,2.656,2.55,2.6839999999999997,2.614,2.78,2.844,2.9410000000000003
672756,2.615,2.495,2.298,2.67,2.6069999999999998,2.912,2.87,2.772,3.0660000000000003,1.9680000000000002,1.901,2.824,2.897,2.812,2.65,2.785,3.135,3.411,2.576,2.207,3.031,2.162,2.549,2.8139999999999996,2.459,2.577,2.259,2.158,2.8480000000000003,2.537,2.653,1.867,2.638,2.931,3.299,2.5860000000000003,2.8510000000000004,2.983,2.645,2.602,2.639,2.074,3.1839999999999997,2.127,1.974,2.403,3.207,2.858,2.738,3.105,2.362,2.634,2.483,2.5580000000000003,2.285,2.252,2.15,2.33,2.544,2.452,2.519,2.577,2.407,2.833,2.316,2.031,2.198,2.702,2.537,2.523,2.437,2.685,2.546,2.593,2.68,2.49,2.394,2.695,2.4930000000000003,2.85,2.8480000000000003,2.7039999999999997,3.0860000000000003,2.585,1.946,2.822,2.9,2.727,2.594,2.773,3.128,3.217,2.595,2.315,2.929,2.057,2.8110000000000004,2.7769999999999997,2.667,2.7030000000000003,2.2769999999999997,2.191,2.855,2.523,2.522,1.655,2.722,3.0180000000000002,3.068,2.5860000000000003,3.096,3.13,2.676,2.542,2.5669999999999997,1.984,3.322,2.198,2.053,2.5180000000000002,3.002,2.9019999999999997,2.734,2.8,2.267,2.535,2.439,2.512,2.444,2.298,2.104,2.293,2.491,2.605,2.492,2.544,2.363,2.793,2.324,1.819,2.255,2.559,2.4859999999999998,2.6519999999999997,2.572,2.7560000000000002,2.695,2.637
690152,2.484,2.476,2.506,2.8930000000000002,2.608,2.838,2.9189999999999996,2.766,3.242,2.008,2.084,2.897,2.8310000000000004,2.6689999999999996,2.693,2.898,3.062,3.3760000000000003,2.53,2.208,3.068,2.299,3.255,2.7760000000000002,2.665,2.657,2.333,2.181,3.035,2.721,2.645,2.246,2.516,3.1630000000000003,3.5789999999999997,2.602,3.083,2.935,2.329,2.401,2.438,2.059,3.2060000000000004,2.19,2.295,2.332,2.8960000000000004,2.764,2.5869999999999997,2.904,2.544,2.4930000000000003,2.36,2.589,2.758,2.2840000000000003,2.241,2.27,2.36,2.523,2.7039999999999997,2.347,2.367,2.7,2.404,2.0580000000000003,2.238,2.7039999999999997,2.613,2.489,2.589,2.84,2.6439999999999997,2.408,2.6060000000000003,2.7680000000000002,2.519,2.885,2.4659999999999997,2.9589999999999996,3.145,3.013,3.2260000000000004,2.487,2.129,2.972,2.591,2.739,2.734,2.9530000000000003,3.253,3.63,2.665,2.312,2.949,2.27,3.155,2.943,2.758,2.81,2.311,2.334,3.054,2.775,2.804,2.741,2.492,3.195,3.2030000000000003,2.697,3.145,3.16,2.4730000000000003,2.995,2.483,2.202,3.531,2.253,2.292,2.445,2.9019999999999997,2.802,2.8369999999999997,2.827,2.313,2.5639999999999996,2.367,2.597,2.425,2.279,2.27,2.33,2.575,2.582,2.559,2.583,2.1590000000000003,2.755,2.445,1.8130000000000002,2.3040000000000003,2.8,2.6460000000000004,2.6630000000000003,2.802,2.7880000000000003,2.721,2.418
693764,2.665,2.41,2.273,2.747,2.866,3.135,2.782,2.773,2.985,2.055,2.079,3.034,2.73,2.73,2.752,2.8989999999999996,3.234,3.611,2.5580000000000003,2.209,2.822,2.166,2.826,2.67,2.7560000000000002,2.847,2.343,2.106,2.841,2.515,2.977,2.39,2.657,3.1039999999999996,3.298,2.728,3.056,2.975,2.467,2.5140000000000002,2.577,1.962,3.28,2.059,2.108,2.3369999999999997,3.053,2.955,2.745,2.932,2.158,2.696,2.57,2.658,2.437,2.353,2.193,2.276,2.365,2.484,2.459,2.55,2.5069999999999997,2.946,2.312,1.7269999999999999,2.242,2.61,2.519,3.0010000000000003,2.372,2.7310000000000003,2.7239999999999998,2.137,2.8369999999999997,2.693,2.295,2.8960000000000004,2.658,3.153,2.78,2.795,3.113,2.275,2.042,3.0639999999999996,2.951,2.847,2.7939999999999996,3.0239999999999996,3.319,3.872,2.6919999999999997,2.322,2.9410000000000003,2.032,2.7,2.9419999999999997,2.803,2.76,2.275,2.145,2.858,2.516,2.688,2.089,2.73,3.225,3.615,2.8360000000000003,3.09,3.22,2.431,3.123,2.763,1.9469999999999998,3.313,2.097,2.245,2.427,2.801,2.7689999999999997,2.935,2.7939999999999996,2.25,2.481,2.5780000000000003,2.529,2.498,2.355,2.338,2.283,2.471,2.753,2.369,2.542,2.539,2.741,2.4459999999999997,1.3430000000000002,2.157,2.747,2.476,2.78,2.41,2.7310000000000003,2.83,2.659
698168,2.556,2.505,2.428,2.9789999999999996,2.596,2.985,2.947,2.717,3.0980000000000003,2.09,2.022,3.0060000000000002,2.8789999999999996,2.861,2.762,2.907,3.427,3.438,2.569,2.254,2.92,2.1790000000000003,2.758,2.781,2.65,2.78,2.426,2.197,2.91,2.679,2.6319999999999997,2.072,2.256,3.103,3.342,2.888,3.218,3.14,2.594,2.767,2.39,2.0780000000000003,3.158,2.0780000000000003,2.117,2.459,2.975,2.654,2.779,3.082,2.222,2.5469999999999997,2.412,2.623,2.445,2.351,2.108,2.369,2.415,2.6710000000000003,2.575,2.353,2.291,2.818,2.254,2.378,2.312,2.682,2.48,2.479,2.675,2.878,2.667,2.248,2.401,2.642,2.615,2.8089999999999997,2.541,2.804,3.147,2.7960000000000003,2.908,2.7119999999999997,1.993,2.8110000000000004,2.77,2.798,2.76,2.9360000000000004,3.647,3.623,2.6310000000000002,2.29,2.992,2.233,2.84,2.71,2.701,2.826,2.354,2.229,2.865,2.785,2.522,2.472,2.417,3.102,3.128,2.946,3.16,3.3139999999999996,2.634,2.616,2.574,2.088,3.259,2.003,2.1430000000000002,2.5380000000000003,3.093,2.8680000000000003,2.8960000000000004,2.8569999999999998,2.363,2.59,2.426,2.698,2.588,2.262,2.283,2.336,2.455,2.843,2.426,2.3,2.2230000000000003,2.713,2.351,1.798,2.258,2.7460000000000004,2.474,2.65,2.695,2.767,2.8310000000000004,2.35
