Name,Ranking,Support
lh_G_and_S_frontomargin_area,1,True
rh_S_orbital-H_Shaped_area,1,True
lh_S_circular_insula_sup_area,1,True
rh_S_circular_insula_ant_area,1,True
rh_G_oc-temp_med-Parahip_area,1,True
rh_S_collat_transv_post_area,1,True
lh_G_pariet_inf-Angular_area,1,True
rh_G_occipital_sup_area,1,True
lh_S_orbital_med-olfact_area,1,True
rh_S_oc-temp_lat_area,1,True
rh_S_front_sup_area,1,True
lh_Pole_occipital_area,1,True
rh_S_suborbital_area,1,True
rh_S_pericallosal_area,1,True
rh_G_and_S_cingul-Mid-Post_area,1,True
