Name,Ranking,Support
lh_G_and_S_frontomargin_volume,1,True
lh_S_calcarine_volume,1,True
lh_G_temp_sup-G_T_transv_volume,1,True
rh_S_circular_insula_ant_volume,1,True
lh_G_temp_sup-Plan_polar_volume,1,True
rh_Pole_temporal_volume,1,True
rh_Pole_occipital_volume,1,True
rh_G_and_S_cingul-Mid-Post_volume,1,True
lh_Pole_occipital_volume,1,True
lh_S_circular_insula_sup_volume,1,True
lh_G_orbital_volume,1,True
rh_G_subcallosal_volume,1,True
lh_S_orbital_med-olfact_volume,1,True
rh_G_oc-temp_med-Lingual_volume,1,True
lh_S_precentral-inf-part_volume,1,True
rh_G_front_sup_volume,1,True
rh_G_front_inf-Orbital_volume,1,True
lh_G_and_S_occipital_inf_volume,1,True
rh_S_collat_transv_post_volume,1,True
rh_G_and_S_cingul-Ant_volume,1,True
rh_S_suborbital_volume,1,True
lh_G_cingul-Post-dorsal_volume,1,True
lh_G_front_inf-Opercular_volume,1,True
rh_S_temporal_sup_volume,1,True
rh_S_temporal_inf_volume,1,True
rh_S_oc-temp_lat_volume,1,True
lh_G_insular_short_volume,1,True
