Name,frecuency,variation (a/k)
lh_S_postcentral_area,213,1.333538528723286
rh_G_pariet_inf-Angular_area,217,1.4567635221247053
lh_G_and_S_cingul-Ant_area,223,1.4068844286306657
rh_S_pericallosal_area,223,1.574054578834356
rh_Pole_temporal_area,223,1.4761404019039395
lh_S_temporal_inf_area,224,1.3567064190693638
rh_S_intrapariet_and_P_trans_area,225,1.5208109268701409
lh_G_postcentral_area,225,1.6552049433009188
rh_G_precentral_area,226,1.4534310883565473
lh_S_precentral-inf-part_area,226,1.5143956399361316
lh_G_front_inf-Triangul_area,227,1.469076494940244
lh_S_front_inf_area,227,1.5006358851187929
rh_S_oc-temp_med_and_Lingual_area,228,1.4224224621659003
lh_G_precentral_area,229,1.5368345697899986
lh_G_and_S_occipital_inf_area,229,1.44134118237303
lh_S_occipital_ant_area,229,1.4818820824273868
lh_S_intrapariet_and_P_trans_area,229,1.4975080402596597
rh_S_postcentral_area,230,1.4808128380837533
rh_G_front_inf-Opercular_area,230,1.4822486134870614
rh_S_cingul-Marginalis_area,230,1.434319481547798
rh_S_calcarine_area,231,1.6711001055424237
rh_S_front_middle_area,231,1.620483382348456
lh_G_and_S_paracentral_area,232,1.459965078455451
rh_G_and_S_transv_frontopol_area,232,1.5155558133697815
rh_G_and_S_cingul-Ant_area,232,1.5438184738627685
lh_Pole_occipital_area,232,1.4874994565106352
lh_G_and_S_cingul-Mid-Ant_area,234,1.502984562303932
lh_G_oc-temp_med-Lingual_area,234,1.5093629028572646
rh_S_temporal_sup_area,234,1.6295859808861095
lh_S_suborbital_area,235,1.6582807252854654
rh_G_front_middle_area,235,1.5794962357606093
rh_S_occipital_ant_area,235,1.5527150066793418
rh_G_and_S_paracentral_area,235,1.498558468337156
rh_G_temporal_inf_area,236,1.6081614643879913
lh_Lat_Fis-post_area,236,1.606248830059729
rh_G_oc-temp_lat-fusifor_area,236,1.5260606149958904
lh_G_temporal_inf_area,236,1.4854333500211012
lh_S_circular_insula_sup_area,236,1.6657095030487807
rh_G_and_S_frontomargin_area,236,1.5462961141651521
rh_S_front_sup_area,237,1.6124652138210287
lh_G_front_sup_area,237,1.5580094306878518
rh_Pole_occipital_area,237,1.5704593030112841
lh_S_central_area,237,1.4713730207162852
lh_G_and_S_cingul-Mid-Post_area,237,1.5097219079949487
rh_S_oc_middle_and_Lunatus_area,237,1.4684091211943526
lh_S_precentral-sup-part_area,238,1.5858323877043203
lh_S_oc-temp_lat_area,238,1.6806311484935765
lh_S_front_sup_area,238,1.638170152570266
lh_S_calcarine_area,238,1.5587386243476296
rh_G_and_S_cingul-Mid-Post_area,238,1.5416703893062524
rh_S_circular_insula_sup_area,239,1.5684305921574326
lh_G_pariet_inf-Supramar_area,239,1.4980926631030065
rh_G_pariet_inf-Supramar_area,239,1.6594716436115378
lh_G_occipital_sup_area,239,1.6690068376430778
rh_G_oc-temp_med-Parahip_area,240,1.620218092166024
rh_G_front_sup_area,240,1.589532766531066
rh_G_occipital_sup_area,240,1.6443752322643252
lh_S_orbital_lateral_area,240,1.502152991671414
rh_S_interm_prim-Jensen_area,241,1.497322352819613
lh_S_collat_transv_ant_area,241,1.5274315091285358
rh_G_and_S_occipital_inf_area,241,1.4960143097370069
lh_S_oc_middle_and_Lunatus_area,242,1.6673334812328404
lh_S_oc_sup_and_transversal_area,242,1.5944983730336904
lh_S_parieto_occipital_area,242,1.564391020030304
rh_S_precentral-inf-part_area,242,1.5534044952323642
lh_G_subcallosal_area,243,1.6158291669257925
rh_S_precentral-sup-part_area,243,1.541012026794347
lh_S_oc-temp_med_and_Lingual_area,244,1.533202050499443
lh_Pole_temporal_area,244,1.718974456811165
rh_S_circular_insula_inf_area,244,1.7448153965696591
lh_G_oc-temp_lat-fusifor_area,244,1.7150660743606825
rh_G_occipital_middle_area,245,1.675746929130608
rh_G_temp_sup-Plan_tempo_area,245,1.7238342313497232
rh_G_precuneus_area,245,1.497250618738994
rh_G_temp_sup-Lateral_area,247,1.4700538951812259
rh_G_front_inf-Triangul_area,247,1.6130978509866325
rh_G_subcallosal_area,247,1.6933761374657084
lh_G_cingul-Post-ventral_area,248,1.6158918972203697
lh_G_precuneus_area,248,1.5366722058281288
rh_S_subparietal_area,249,1.6196459097068812
rh_S_orbital_lateral_area,249,1.5699670628074913
lh_S_circular_insula_ant_area,250,2.015597026301386
rh_G_cuneus_area,250,1.7176150725502428
lh_G_pariet_inf-Angular_area,251,1.737224369551712
lh_S_temporal_sup_area,253,1.8050667800509588
lh_S_subparietal_area,253,1.6213808365105886
lh_G_insular_short_area,253,1.6636568815603132
lh_G_oc-temp_med-Parahip_area,253,1.5678784045785787
rh_G_orbital_area,254,1.8342269405173466
lh_G_front_middle_area,254,1.8538847329138608
rh_G_and_S_cingul-Mid-Ant_area,255,1.5859709391096504
lh_G_temporal_middle_area,255,1.6334988247146989
lh_G_cingul-Post-dorsal_area,255,1.7055002535116168
lh_S_pericallosal_area,256,1.6598638401917107
rh_G_postcentral_area,256,1.6553530699991217
rh_G_temporal_middle_area,256,1.6795840129979938
rh_G_and_S_subcentral_area,256,1.6206026798448403
rh_Lat_Fis-post_area,258,1.7117245406464459
rh_G_temp_sup-Plan_polar_area,258,1.7221360114579214
rh_S_parieto_occipital_area,259,1.599468135013087
lh_G_cuneus_area,260,1.7483748432956305
lh_S_interm_prim-Jensen_area,260,1.8182174974349339
lh_G_orbital_area,260,1.9400058769104067
rh_S_orbital_med-olfact_area,262,2.18373839162889
lh_G_front_inf-Opercular_area,262,1.78009634895671
lh_G_parietal_sup_area,262,1.8787569146533194
rh_S_oc-temp_lat_area,268,1.805501951585709
lh_Lat_Fis-ant-Horizont_area,269,1.8925992310040445
lh_S_orbital-H_Shaped_area,269,1.882890103679276
rh_S_collat_transv_post_area,270,1.814537025632136
lh_G_temp_sup-Plan_polar_area,271,1.7370176005470583
rh_S_central_area,271,1.9689391749320806
rh_Lat_Fis-ant-Horizont_area,271,1.776846752890884
lh_G_temp_sup-Plan_tempo_area,272,1.7886367252064204
rh_Lat_Fis-ant-Vertical_area,274,1.905190543349997
rh_S_oc_sup_and_transversal_area,275,1.9089694428956672
rh_G_oc-temp_med-Lingual_area,275,1.9105684455912229
lh_G_and_S_transv_frontopol_area,277,1.8663902598622981
lh_G_and_S_subcentral_area,279,1.786981887431851
lh_S_front_middle_area,281,2.1412982557231945
rh_S_front_inf_area,281,2.019555727290768
rh_S_temporal_inf_area,281,1.972058330845652
lh_G_occipital_middle_area,282,1.9031919651928642
rh_G_front_inf-Orbital_area,284,1.9538336680354291
lh_G_temp_sup-Lateral_area,286,1.931225137064987
rh_S_collat_transv_ant_area,288,1.9334662375244744
lh_G_front_inf-Orbital_area,298,2.1567695234660382
lh_S_circular_insula_inf_area,300,1.999383852764797
rh_G_parietal_sup_area,301,2.131334852028436
rh_G_rectus_area,301,2.2830901287976557
lh_G_rectus_area,302,2.206777402438088
lh_G_Ins_lg_and_S_cent_ins_area,303,2.1281207475797284
rh_S_orbital-H_Shaped_area,315,2.1245930283592536
lh_S_cingul-Marginalis_area,318,2.0849604101016075
rh_G_cingul-Post-dorsal_area,319,2.357629539906205
lh_S_orbital_med-olfact_area,320,2.3523801606737726
lh_Lat_Fis-ant-Vertical_area,323,2.599865237227345
rh_G_temp_sup-G_T_transv_area,327,2.513404064097101
lh_S_collat_transv_post_area,332,2.434244351631938
rh_G_cingul-Post-ventral_area,332,2.6705614504621735
lh_G_temp_sup-G_T_transv_area,349,2.626208192422398
rh_S_temporal_transverse_area,350,2.318685948010084
rh_G_Ins_lg_and_S_cent_ins_area,353,2.758523144384699
rh_S_circular_insula_ant_area,360,2.5804765020079214
lh_G_and_S_frontomargin_area,369,2.610510411848517
lh_S_temporal_transverse_area,382,2.807789669112645
rh_G_insular_short_area,394,3.0593847288759077
rh_S_suborbital_area,411,3.3986274315706533
