Name,frecuency,variation (a/k)
lh_G_and_S_frontomargin_meancurv,494,4.005253947939573
lh_G_and_S_occipital_inf_meancurv,495,4.023014505459855
lh_G_and_S_paracentral_meancurv,494,4.016894771535243
lh_G_and_S_subcentral_meancurv,494,4.0111963236416734
lh_G_and_S_transv_frontopol_meancurv,498,4.0630767691668135
lh_G_and_S_cingul-Ant_meancurv,497,4.03914949643954
lh_G_and_S_cingul-Mid-Ant_meancurv,3,0.018357476374578532
lh_G_and_S_cingul-Mid-Post_meancurv,0,0.0
lh_G_cingul-Post-dorsal_meancurv,494,4.009151196469291
lh_G_cingul-Post-ventral_meancurv,1,0.009508196721311474
lh_G_cuneus_meancurv,1,0.005610948191593353
lh_G_front_inf-Opercular_meancurv,495,4.021211580696747
lh_G_front_inf-Orbital_meancurv,498,4.0630767691668135
lh_G_front_inf-Triangul_meancurv,492,3.993523265823367
lh_G_front_middle_meancurv,499,4.102946899036944
lh_G_front_sup_meancurv,491,3.985679543418538
lh_G_Ins_lg_and_S_cent_ins_meancurv,499,4.102946899036944
lh_G_insular_short_meancurv,495,4.020704520362985
lh_G_occipital_middle_meancurv,1,0.009508196721311474
lh_G_occipital_sup_meancurv,497,4.03914949643954
lh_G_oc-temp_lat-fusifor_meancurv,3,0.019100379085902296
lh_G_oc-temp_med-Lingual_meancurv,2,0.01562793064592345
lh_G_oc-temp_med-Parahip_meancurv,498,4.093438702315632
lh_G_orbital_meancurv,495,4.023014505459855
lh_G_pariet_inf-Angular_meancurv,492,3.9917645170452634
lh_G_pariet_inf-Supramar_meancurv,499,4.102946899036944
lh_G_parietal_sup_meancurv,496,4.046941778187128
lh_G_postcentral_meancurv,494,4.008642410736272
lh_G_precentral_meancurv,495,4.0170721297577545
lh_G_precuneus_meancurv,1,0.005610948191593353
lh_G_rectus_meancurv,2,0.01613499097968468
lh_G_subcallosal_meancurv,2,0.012746528182985179
lh_G_temp_sup-G_T_transv_meancurv,498,4.0630767691668135
lh_G_temp_sup-Lateral_meancurv,0,0.0
lh_G_temp_sup-Plan_polar_meancurv,496,4.0273313146213585
lh_G_temp_sup-Plan_tempo_meancurv,2,0.011730682116205326
lh_G_temporal_inf_meancurv,495,4.023521565793617
lh_G_temporal_middle_meancurv,0,0.0
lh_Lat_Fis-ant-Horizont_meancurv,490,3.9795267745952967
lh_Lat_Fis-ant-Vertical_meancurv,492,3.9896607775915354
lh_Lat_Fis-post_meancurv,6,0.04651173125212108
lh_Pole_occipital_meancurv,494,4.010445335499381
lh_Pole_temporal_meancurv,499,4.102946899036944
lh_S_calcarine_meancurv,4,0.027323852464242293
lh_S_central_meancurv,0,0.0
lh_S_cingul-Marginalis_meancurv,0,0.0
lh_S_circular_insula_ant_meancurv,0,0.0
