Name,frecuency,variation (a/k)
lh_G_and_S_frontomargin_area,418,40.29621425704966
lh_Pole_occipital_area,338,32.015372629216635
lh_S_orbital_med-olfact_area,292,27.541296587200815
rh_S_oc-temp_lat_area,302,26.191470246644716
rh_G_occipital_sup_area,291,26.14882239519793
rh_G_pariet_inf-Angular_area,256,24.52531844330841
rh_S_pericallosal_area,250,19.70706611609223
lh_G_pariet_inf-Angular_area,210,19.419755497714768
lh_S_circular_insula_sup_area,252,19.311162535962033
rh_S_front_sup_area,228,15.880614573351865
rh_Pole_occipital_area,133,11.695046793800106
rh_S_orbital-H_Shaped_area,168,10.478768992790213
rh_S_collat_transv_post_area,148,9.962425765571048
lh_S_collat_transv_ant_area,140,9.883120736579299
rh_G_oc-temp_med-Parahip_area,95,6.205120586694351
rh_G_and_S_cingul-Mid-Post_area,74,3.611435698055143
lh_G_front_inf-Opercular_area,36,2.2590959237771333
lh_G_temp_sup-Plan_polar_area,42,2.2253680935265763
lh_S_parieto_occipital_area,40,2.2118843145353004
rh_S_front_middle_area,31,1.9989159874078826
lh_G_cuneus_area,22,1.975287910493709
rh_S_circular_insula_ant_area,45,1.9732631680675454
lh_S_temporal_sup_area,27,1.8065525496291617
rh_S_suborbital_area,38,1.5766801563694148
rh_S_temporal_inf_area,26,1.4745160151282308
lh_G_temp_sup-Lateral_area,32,1.461295072140893
lh_S_cingul-Marginalis_area,30,1.4230943415803645
rh_G_parietal_sup_area,29,1.240408103760117
lh_S_oc_middle_and_Lunatus_area,17,1.1978215234268819
lh_G_temp_sup-G_T_transv_area,25,1.173442255672208
rh_S_oc-temp_med_and_Lingual_area,19,1.158891209304227
rh_G_front_middle_area,19,1.1208411596136305
lh_G_and_S_subcentral_area,17,1.0253140803352143
lh_G_occipital_middle_area,23,1.00714489278652
rh_G_oc-temp_med-Lingual_area,24,0.9940985674540986
rh_S_temporal_sup_area,16,0.9473534101752514
lh_S_calcarine_area,14,0.9021402431800938
lh_G_oc-temp_med-Parahip_area,15,0.792243619601652
lh_G_front_middle_area,12,0.7695845978501538
lh_G_temporal_inf_area,13,0.7686802838660289
lh_G_subcallosal_area,18,0.7334277024231679
lh_G_and_S_occipital_inf_area,14,0.7305150173143986
rh_G_rectus_area,13,0.661668377553148
rh_G_and_S_cingul-Ant_area,8,0.6548117008439589
lh_G_precuneus_area,16,0.6058574024632536
rh_G_temp_sup-G_T_transv_area,15,0.5952799530261785
rh_G_and_S_cingul-Mid-Ant_area,17,0.5789806805256482
lh_G_oc-temp_med-Lingual_area,15,0.5283935870512572
rh_S_orbital_med-olfact_area,10,0.4971292031209254
lh_G_orbital_area,12,0.4855827828821643
rh_G_front_sup_area,14,0.4816618122542944
rh_S_parieto_occipital_area,10,0.46657851557474095
rh_G_temp_sup-Plan_tempo_area,11,0.4648678967581872
rh_S_collat_transv_ant_area,7,0.40481268185253244
lh_Pole_temporal_area,8,0.3986362802386977
rh_G_postcentral_area,9,0.39348739098178703
rh_G_cingul-Post-dorsal_area,13,0.37119294850128515
lh_G_front_sup_area,8,0.35176366016714705
rh_S_central_area,10,0.3377591898085711
lh_S_circular_insula_ant_area,9,0.3294721673513596
rh_G_subcallosal_area,9,0.3024619013199337
lh_S_temporal_inf_area,6,0.29737856519832007
lh_S_subparietal_area,7,0.2784071643830163
lh_G_and_S_transv_frontopol_area,8,0.2701919846649903
rh_S_circular_insula_inf_area,7,0.2684870882542115
rh_S_calcarine_area,7,0.2547764186556109
rh_S_intrapariet_and_P_trans_area,6,0.24708664021739987
lh_G_Ins_lg_and_S_cent_ins_area,7,0.2393929324100557
lh_S_intrapariet_and_P_trans_area,8,0.23802716920712674
rh_G_temporal_middle_area,5,0.23612021374940598
rh_G_and_S_frontomargin_area,7,0.23609510389448526
rh_G_front_inf-Orbital_area,8,0.23383208174291822
rh_S_postcentral_area,9,0.23332915872854007
lh_G_cingul-Post-dorsal_area,6,0.20632362426721815
rh_S_circular_insula_sup_area,8,0.2062890370031189
lh_S_collat_transv_post_area,7,0.2060182836559003
rh_G_pariet_inf-Supramar_area,6,0.205977708744832
rh_G_insular_short_area,5,0.20560657987370318
rh_Lat_Fis-post_area,8,0.19789308629657323
rh_Pole_temporal_area,7,0.19332079094998322
lh_G_insular_short_area,8,0.18964136511989085
rh_S_oc_sup_and_transversal_area,6,0.18287650027588162
rh_S_front_inf_area,10,0.18092689313910873
rh_S_cingul-Marginalis_area,9,0.18088681969248252
lh_S_pericallosal_area,8,0.1788561901861477
rh_Lat_Fis-ant-Horizont_area,6,0.17776676556614693
lh_S_postcentral_area,6,0.17027605790525016
