Name,frecuency,variation (a/k)
lh_G_Ins_lg_and_S_cent_ins_meancurv,478,7.145204935707512
lh_Pole_temporal_meancurv,477,7.103530347430106
lh_G_oc-temp_med-Parahip_meancurv,466,7.098342405592713
lh_G_temp_sup-G_T_transv_meancurv,456,6.992022122575599
rh_Pole_temporal_meancurv,467,6.81904496540218
lh_G_orbital_meancurv,461,6.754518781709357
lh_S_front_inf_meancurv,459,6.702064834534546
rh_S_pericallosal_meancurv,453,6.620918175485049
lh_G_parietal_sup_meancurv,444,6.450338950688356
rh_G_oc-temp_med-Parahip_meancurv,441,6.435371107414524
lh_S_subparietal_meancurv,441,6.412667043189427
rh_G_front_inf-Triangul_meancurv,450,6.3916259222330005
lh_S_pericallosal_meancurv,451,6.385270705849841
rh_G_temporal_middle_meancurv,437,6.37868914668215
rh_G_rectus_meancurv,445,6.300580688873274
rh_S_calcarine_meancurv,427,6.254737436204318
rh_G_and_S_cingul-Mid-Ant_meancurv,440,6.206258525200822
lh_G_and_S_occipital_inf_meancurv,435,6.025846460586756
lh_S_temporal_sup_meancurv,419,6.002006601711167
rh_S_occipital_ant_meancurv,427,5.960789650611535
lh_G_insular_short_meancurv,427,5.918586385509178
rh_G_front_inf-Opercular_meancurv,424,5.880248669706962
lh_G_occipital_sup_meancurv,421,5.82628626816032
lh_Lat_Fis-post_meancurv,410,5.710978934996266
rh_S_oc-temp_lat_meancurv,416,5.698131573425928
lh_G_pariet_inf-Supramar_meancurv,412,5.669981969060449
rh_G_oc-temp_med-Lingual_meancurv,416,5.664343418878779
lh_S_temporal_inf_meancurv,408,5.611611194044998
rh_G_temporal_inf_meancurv,415,5.573669874608218
lh_G_front_inf-Orbital_meancurv,397,5.5115345682573835
lh_G_and_S_cingul-Ant_meancurv,389,5.4761292951452525
lh_G_and_S_subcentral_meancurv,395,5.366693055238485
rh_G_and_S_paracentral_meancurv,394,5.283513932930605
rh_S_circular_insula_ant_meancurv,388,5.168008262037596
rh_S_precentral-sup-part_meancurv,388,5.108610063137457
rh_Lat_Fis-post_meancurv,381,4.944390767813158
rh_S_temporal_transverse_meancurv,381,4.705905088753894
lh_G_oc-temp_lat-fusifor_meancurv,327,4.318403706927141
rh_G_and_S_cingul-Ant_meancurv,341,4.247659055913433
lh_S_oc-temp_med_and_Lingual_meancurv,329,4.138406635770209
rh_G_oc-temp_lat-fusifor_meancurv,322,4.088367678451057
