Name,frecuency,variation (a/k)
rh_G_front_middle_thickness,492,8.7699130938347
rh_Pole_temporal_thickness,480,8.28554504337148
lh_G_temp_sup-Plan_polar_thickness,454,7.966795869056645
lh_G_pariet_inf-Angular_thickness,459,7.911050260346374
lh_S_collat_transv_post_thickness,449,7.784391377506991
lh_S_subparietal_thickness,453,7.739501614860556
rh_G_front_inf-Triangul_thickness,451,7.716533506659894
rh_S_orbital-H_Shaped_thickness,448,7.710304169597393
lh_G_temp_sup-G_T_transv_thickness,449,7.693400401972895
rh_S_pericallosal_thickness,446,7.590784498394654
lh_G_precentral_thickness,443,7.527821836076062
rh_S_calcarine_thickness,432,7.478223708491872
lh_G_and_S_occipital_inf_thickness,455,7.411838279673591
lh_G_and_S_cingul-Mid-Ant_thickness,433,7.2346187919729905
rh_S_front_middle_thickness,420,7.048677033011766
rh_G_cingul-Post-ventral_thickness,414,6.812526117731282
rh_S_circular_insula_inf_thickness,398,6.788422682560452
lh_G_rectus_thickness,423,6.629617972850981
lh_G_occipital_middle_thickness,419,6.589359591496597
lh_S_oc_sup_and_transversal_thickness,419,6.586424882127259
rh_G_front_sup_thickness,416,6.514060588104214
lh_G_and_S_transv_frontopol_thickness,394,6.200373617986918
rh_G_oc-temp_med-Lingual_thickness,390,6.167636013282832
rh_S_front_sup_thickness,392,5.994767680019093
lh_G_front_sup_thickness,368,5.9766157691941775
rh_G_and_S_cingul-Mid-Ant_thickness,384,5.789966408346622
rh_S_circular_insula_sup_thickness,367,5.488996783326995
lh_S_suborbital_thickness,370,5.435975194657063
lh_S_front_middle_thickness,348,4.938492398817531
rh_G_pariet_inf-Supramar_thickness,344,4.937546430532187
rh_S_temporal_sup_thickness,336,4.910141672393296
lh_G_parietal_sup_thickness,317,4.6899735274591565
lh_S_central_thickness,318,4.588991501306749
rh_G_temp_sup-G_T_transv_thickness,320,4.53658625060652
rh_S_central_thickness,307,4.386508141960155
lh_S_calcarine_thickness,307,4.157046537127501
lh_Lat_Fis-post_thickness,294,4.073892155158873
rh_S_postcentral_thickness,271,4.035065887414807
lh_G_precuneus_thickness,292,4.018716295630234
lh_G_front_inf-Orbital_thickness,285,3.907015004202535
rh_G_and_S_transv_frontopol_thickness,281,3.8118394585553106
lh_S_front_inf_thickness,269,3.6924113491827977
lh_S_collat_transv_ant_thickness,283,3.681617170037094
rh_S_oc-temp_med_and_Lingual_thickness,275,3.665422899074937
lh_S_orbital_lateral_thickness,259,3.634403307529048
rh_G_and_S_subcentral_thickness,258,3.513782019399093
rh_G_and_S_cingul-Mid-Post_thickness,268,3.4948949627337758
rh_G_cuneus_thickness,263,3.4391496734379077
lh_S_circular_insula_ant_thickness,251,3.227516169974343
rh_G_cingul-Post-dorsal_thickness,249,3.110379875201141
rh_S_front_inf_thickness,228,2.892025708370642
lh_G_Ins_lg_and_S_cent_ins_thickness,220,2.6979515775859544
lh_G_occipital_sup_thickness,216,2.664813208272979
lh_G_front_inf-Opercular_thickness,205,2.5317060379037475
lh_S_front_sup_thickness,199,2.503097465247409
lh_S_intrapariet_and_P_trans_thickness,197,2.4497536599390575
rh_G_postcentral_thickness,181,2.409819918592459
lh_S_postcentral_thickness,189,2.3018700135083012
rh_G_temp_sup-Plan_polar_thickness,187,2.1150796372357585
lh_G_postcentral_thickness,182,2.1022562013405968
rh_S_parieto_occipital_thickness,184,2.045894668503667
rh_G_occipital_middle_thickness,166,2.04165089200691
lh_G_and_S_cingul-Mid-Post_thickness,183,2.032468683342839
rh_G_insular_short_thickness,153,2.028013648113021
rh_G_parietal_sup_thickness,143,1.9743112435513326
lh_G_temporal_inf_thickness,177,1.9318340021604348
rh_S_collat_transv_post_thickness,173,1.9008148213659335
rh_Lat_Fis-ant-Vertical_thickness,167,1.7803003749538377
lh_G_cuneus_thickness,135,1.657936416862059
lh_G_pariet_inf-Supramar_thickness,148,1.6355392932511967
rh_Lat_Fis-ant-Horizont_thickness,136,1.4443637153480682
rh_S_oc_sup_and_transversal_thickness,113,1.423180505744637
rh_S_collat_transv_ant_thickness,139,1.392367646939554
lh_G_orbital_thickness,133,1.3182510998773693
rh_G_orbital_thickness,126,1.2987194872636514
rh_G_pariet_inf-Angular_thickness,123,1.2884346295735092
lh_S_occipital_ant_thickness,136,1.2845199125988789
rh_G_and_S_cingul-Ant_thickness,103,1.1300732397652669
lh_Pole_occipital_thickness,109,1.1084661622445082
lh_S_orbital_med-olfact_thickness,82,1.0821784393343774
rh_G_precentral_thickness,113,1.071950824448052
lh_G_temp_sup-Lateral_thickness,108,1.0014293548271154
rh_S_circular_insula_ant_thickness,94,0.9945638725651819
rh_G_Ins_lg_and_S_cent_ins_thickness,103,0.957562830931002
lh_S_pericallosal_thickness,94,0.9072174625585824
rh_S_oc_middle_and_Lunatus_thickness,102,0.9066894614866514
rh_S_precentral-inf-part_thickness,85,0.8629043043629167
rh_G_occipital_sup_thickness,93,0.8335693793293717
lh_S_oc_middle_and_Lunatus_thickness,82,0.7792606941432295
lh_S_circular_insula_sup_thickness,89,0.7490306875466226
rh_G_front_inf-Opercular_thickness,68,0.7400178809025144
rh_Lat_Fis-post_thickness,62,0.7286912997367996
lh_Pole_temporal_thickness,57,0.727777599992282
rh_G_and_S_frontomargin_thickness,84,0.7012639818125751
lh_G_oc-temp_med-Lingual_thickness,76,0.6699094218670866
lh_G_subcallosal_thickness,63,0.6521638116925632
rh_G_oc-temp_lat-fusifor_thickness,73,0.651116069987706
rh_S_orbital_lateral_thickness,61,0.6478598995426484
rh_Pole_occipital_thickness,71,0.6448157536396033
lh_G_temporal_middle_thickness,66,0.6403681794319128
rh_G_and_S_paracentral_thickness,79,0.623102078593152
lh_G_and_S_frontomargin_thickness,62,0.5981570741347386
lh_S_temporal_sup_thickness,57,0.5947450234341224
lh_S_oc-temp_med_and_Lingual_thickness,68,0.5945721861888391
rh_S_cingul-Marginalis_thickness,71,0.5944011925156478
lh_S_precentral-sup-part_thickness,62,0.5841540990422116
lh_S_precentral-inf-part_thickness,70,0.5713279301529928
rh_G_precuneus_thickness,61,0.5675455389466936
lh_G_oc-temp_lat-fusifor_thickness,69,0.5593683426175722
rh_G_temporal_middle_thickness,65,0.5582832651627028
lh_S_oc-temp_lat_thickness,69,0.5556925392621753
lh_S_cingul-Marginalis_thickness,60,0.544759491770589
lh_Lat_Fis-ant-Horizont_thickness,70,0.5406150907867209
rh_S_precentral-sup-part_thickness,67,0.5236487983383032
lh_G_cingul-Post-dorsal_thickness,52,0.5117842075829232
rh_S_intrapariet_and_P_trans_thickness,61,0.5105770785446089
lh_G_front_middle_thickness,60,0.5084222321209976
rh_G_front_inf-Orbital_thickness,60,0.4972741351798242
rh_G_temp_sup-Lateral_thickness,59,0.4911276376957891
lh_G_and_S_cingul-Ant_thickness,54,0.4797478310962494
lh_G_insular_short_thickness,59,0.4626294485321177
lh_G_front_inf-Triangul_thickness,51,0.46120587305142424
rh_G_temporal_inf_thickness,50,0.45987282843982885
lh_G_and_S_paracentral_thickness,52,0.4571359444087291
lh_S_temporal_transverse_thickness,45,0.4517926220616731
lh_S_orbital-H_Shaped_thickness,51,0.42683636667962477
rh_G_oc-temp_med-Parahip_thickness,56,0.41714504257996265
lh_G_temp_sup-Plan_tempo_thickness,50,0.4074598088003241
rh_G_temp_sup-Plan_tempo_thickness,46,0.4047027315757246
lh_S_temporal_inf_thickness,50,0.3917023938678157
rh_S_suborbital_thickness,47,0.38217436783636605
rh_S_interm_prim-Jensen_thickness,50,0.3701890017096185
rh_S_orbital_med-olfact_thickness,38,0.3561550472727351
rh_G_and_S_occipital_inf_thickness,45,0.35498659735676985
lh_Lat_Fis-ant-Vertical_thickness,45,0.35349873003323395
rh_G_subcallosal_thickness,45,0.34788183921644994
lh_S_parieto_occipital_thickness,47,0.3428069582835033
lh_G_cingul-Post-ventral_thickness,48,0.33940140596810353
lh_G_and_S_subcentral_thickness,45,0.3363105333754593
rh_G_rectus_thickness,40,0.3262672056595384
lh_G_oc-temp_med-Parahip_thickness,40,0.3078479112545391
rh_S_subparietal_thickness,42,0.306474186273676
