Name,frecuency,variation (a/k)
lh_S_orbital_med-olfact_volume,454,40.4418391774424
lh_G_temp_sup-Plan_polar_volume,437,36.08841150841262
lh_Pole_occipital_volume,375,31.210325705630396
rh_S_oc-temp_lat_volume,284,23.13675736211854
lh_G_orbital_volume,326,21.901693916286376
rh_G_and_S_cingul-Ant_volume,287,21.6534100796448
lh_G_and_S_frontomargin_volume,297,18.70845252171493
rh_G_front_sup_volume,298,17.853473403091424
lh_G_insular_short_volume,244,15.084024618119239
rh_Pole_occipital_volume,191,14.945093328698896
rh_G_subcallosal_volume,246,14.898125076868034
lh_G_temp_sup-G_T_transv_volume,205,12.01022907244638
rh_S_temporal_inf_volume,152,11.162252705636755
rh_S_collat_transv_post_volume,153,8.924886432176326
rh_G_oc-temp_lat-fusifor_volume,113,8.397401589163445
rh_Pole_temporal_volume,144,7.682922472323765
rh_G_pariet_inf-Angular_volume,94,7.432081931947765
lh_G_front_inf-Opercular_volume,132,6.778557225489671
rh_S_suborbital_volume,86,4.06590726439263
lh_S_orbital-H_Shaped_volume,45,2.4869911640167586
lh_G_cuneus_volume,23,1.7620748270445152
lh_S_circular_insula_sup_volume,36,1.2795290851875734
rh_S_orbital_med-olfact_volume,26,1.2552031623024387
lh_G_occipital_middle_volume,31,1.2028744918218996
rh_S_circular_insula_ant_volume,34,1.1127978226977489
lh_S_calcarine_volume,20,1.027290045628452
rh_S_temporal_sup_volume,19,0.9218593980323103
rh_S_pericallosal_volume,20,0.8733891860097006
lh_G_front_sup_volume,18,0.7636749715648927
lh_G_Ins_lg_and_S_cent_ins_volume,21,0.7379802283923613
rh_S_circular_insula_sup_volume,17,0.7319662234998396
lh_G_and_S_occipital_inf_volume,17,0.7086269672435005
rh_G_and_S_cingul-Mid-Post_volume,20,0.6674079735906754
lh_G_oc-temp_med-Parahip_volume,16,0.64297845376207
rh_S_front_sup_volume,18,0.6095365749338275
lh_G_temporal_middle_volume,19,0.6087072025351951
rh_G_temp_sup-Plan_tempo_volume,17,0.5614037255385421
rh_G_oc-temp_med-Parahip_volume,12,0.5300409936338664
lh_Lat_Fis-post_volume,14,0.45287486908116553
rh_G_front_middle_volume,16,0.44357337765538096
rh_S_front_middle_volume,13,0.41341814424894663
lh_G_front_middle_volume,11,0.41198556284161464
rh_S_circular_insula_inf_volume,14,0.41142470195831815
lh_S_temporal_transverse_volume,16,0.3995380750676805
lh_G_oc-temp_lat-fusifor_volume,16,0.3993149725634419
lh_G_pariet_inf-Angular_volume,15,0.3918904772224805
rh_S_calcarine_volume,13,0.3844043191153547
rh_Lat_Fis-ant-Vertical_volume,12,0.38438173581042956
rh_G_temporal_middle_volume,10,0.3734721065057227
lh_S_collat_transv_ant_volume,12,0.371009209925179
rh_G_oc-temp_med-Lingual_volume,19,0.36269725629359956
lh_S_oc_middle_and_Lunatus_volume,14,0.3533438600947438
lh_G_and_S_cingul-Ant_volume,13,0.34155652209013826
lh_G_cingul-Post-ventral_volume,11,0.3404582537303396
rh_S_oc_middle_and_Lunatus_volume,13,0.3345052640502654
rh_S_collat_transv_ant_volume,13,0.3267628361792384
rh_G_postcentral_volume,16,0.3246042446378608
rh_S_temporal_transverse_volume,12,0.3057923679436312
rh_G_cuneus_volume,14,0.30119204785469633
rh_S_occipital_ant_volume,12,0.2976981077771785
lh_S_front_middle_volume,10,0.28278210124352493
lh_G_and_S_subcentral_volume,10,0.2768306923643086
rh_G_cingul-Post-dorsal_volume,13,0.27406192954649794
lh_S_pericallosal_volume,12,0.2567101319211675
lh_Lat_Fis-ant-Vertical_volume,10,0.2545798711618744
lh_G_rectus_volume,13,0.25113665521865847
rh_G_parietal_sup_volume,14,0.2505286570023558
rh_S_oc-temp_med_and_Lingual_volume,8,0.24513344126089906
lh_G_subcallosal_volume,12,0.2417223508849993
rh_G_precentral_volume,10,0.23240761544123162
lh_S_temporal_sup_volume,12,0.22927570808498404
rh_G_temp_sup-Plan_polar_volume,11,0.22759803052486918
lh_S_oc_sup_and_transversal_volume,9,0.22351403843000753
lh_S_orbital_lateral_volume,13,0.22260400987068008
rh_G_temp_sup-Lateral_volume,12,0.21912600065961685
rh_G_insular_short_volume,11,0.21594139819788824
lh_S_front_sup_volume,10,0.2090153738714256
lh_G_parietal_sup_volume,14,0.20860724164085778
lh_S_oc-temp_med_and_Lingual_volume,13,0.20756683760045377
rh_G_Ins_lg_and_S_cent_ins_volume,11,0.2047204033171131
rh_G_and_S_frontomargin_volume,12,0.20324965445775744
rh_S_postcentral_volume,10,0.19135117211045918
lh_G_postcentral_volume,12,0.18791153949354272
rh_G_pariet_inf-Supramar_volume,12,0.1854187154523316
lh_S_subparietal_volume,11,0.18498903402265018
lh_G_and_S_cingul-Mid-Post_volume,10,0.1794852873547244
rh_G_and_S_cingul-Mid-Ant_volume,14,0.17050090353451966
lh_S_precentral-inf-part_volume,14,0.16564572167933783
rh_G_temp_sup-G_T_transv_volume,9,0.16510471638833255
rh_S_precentral-sup-part_volume,9,0.1614032359823067
lh_S_suborbital_volume,12,0.1607891447051138
rh_S_front_inf_volume,8,0.1599890945681653
rh_G_rectus_volume,10,0.15482513788465757
lh_G_and_S_paracentral_volume,10,0.15066660451933558
lh_S_circular_insula_ant_volume,11,0.14974327977689594
lh_G_oc-temp_med-Lingual_volume,11,0.14847363438960348
lh_S_collat_transv_post_volume,10,0.14774332387078168
lh_G_and_S_transv_frontopol_volume,12,0.14177985849768518
lh_G_cingul-Post-dorsal_volume,11,0.13863251885088573
rh_G_occipital_sup_volume,13,0.13615399156612434
lh_G_precentral_volume,8,0.13193520404125578
rh_G_cingul-Post-ventral_volume,9,0.12878352820135233
lh_S_parieto_occipital_volume,11,0.12663365966727583
lh_G_front_inf-Orbital_volume,11,0.12425132728494344
rh_G_and_S_paracentral_volume,11,0.11892665196026812
rh_S_orbital_lateral_volume,11,0.11808642532099368
rh_S_orbital-H_Shaped_volume,9,0.11795961737945211
rh_G_front_inf-Orbital_volume,10,0.11338930997131325
rh_S_oc_sup_and_transversal_volume,10,0.11289825279937096
lh_G_temp_sup-Lateral_volume,9,0.1107766646926338
rh_S_interm_prim-Jensen_volume,7,0.10780909691700372
lh_G_and_S_cingul-Mid-Ant_volume,11,0.104819362852979
lh_G_pariet_inf-Supramar_volume,9,0.10120621867057486
lh_G_precuneus_volume,10,0.10058538961834507
lh_S_cingul-Marginalis_volume,9,0.0999777949358979
lh_Pole_temporal_volume,8,0.09956572876562216
lh_G_temporal_inf_volume,11,0.09877667793932635
rh_Lat_Fis-ant-Horizont_volume,9,0.09694834353034679
rh_G_occipital_middle_volume,9,0.09493675297036913
lh_S_occipital_ant_volume,10,0.09353718624822177
rh_S_intrapariet_and_P_trans_volume,8,0.08362593620793947
lh_G_temp_sup-Plan_tempo_volume,8,0.08318210976411301
lh_G_occipital_sup_volume,9,0.07967160145521761
lh_S_precentral-sup-part_volume,9,0.07377179035379361
lh_S_front_inf_volume,10,0.07264764568126184
rh_G_and_S_subcentral_volume,8,0.070066556194014
lh_Lat_Fis-ant-Horizont_volume,9,0.06920082223443838
rh_G_orbital_volume,9,0.06886966090261636
rh_G_and_S_transv_frontopol_volume,7,0.06376098551277552
lh_S_intrapariet_and_P_trans_volume,9,0.06196623479823806
rh_G_front_inf-Triangul_volume,9,0.05882229540429867
lh_S_oc-temp_lat_volume,10,0.05632924936286553
rh_G_and_S_occipital_inf_volume,10,0.054595697629313794
lh_S_postcentral_volume,7,0.05309415780558146
rh_G_front_inf-Opercular_volume,9,0.04975173562117268
lh_G_front_inf-Triangul_volume,9,0.049460562494178656
rh_G_precuneus_volume,8,0.04644757548119165
rh_S_central_volume,7,0.0462129119963831
rh_G_temporal_inf_volume,9,0.042854188723625786
lh_S_central_volume,9,0.0424586590406623
rh_Lat_Fis-post_volume,9,0.04082946386308003
rh_S_parieto_occipital_volume,8,0.03685385062593653
rh_S_subparietal_volume,7,0.034174472638828834
lh_S_circular_insula_inf_volume,7,0.03247956189738605
rh_S_cingul-Marginalis_volume,7,0.030850366719803776
lh_S_interm_prim-Jensen_volume,7,0.030454837036840297
rh_S_precentral-inf-part_volume,7,0.02998516375724966
lh_S_temporal_inf_volume,6,0.0283470903569011
