Name,frecuency,variation (a/k)
lh_G_and_S_frontomargin_thickness,3,0.016657847851793455
lh_G_and_S_occipital_inf_thickness,463,9.054083791940606
lh_G_and_S_paracentral_thickness,5,0.044004440227232974
lh_G_and_S_subcentral_thickness,3,0.019677962926592074
lh_G_and_S_transv_frontopol_thickness,452,8.608368525578754
lh_G_and_S_cingul-Ant_thickness,3,0.016657847851793455
lh_G_and_S_cingul-Mid-Ant_thickness,440,8.078545466430853
lh_G_and_S_cingul-Mid-Post_thickness,6,0.05498233991198346
lh_G_cingul-Post-dorsal_thickness,8,0.10550811450365169
lh_G_cingul-Post-ventral_thickness,3,0.019890474482832446
lh_G_cuneus_thickness,434,7.913755815260764
lh_G_front_inf-Opercular_thickness,437,7.9576162195545415
lh_G_front_inf-Orbital_thickness,434,7.953011762625315
lh_G_front_inf-Triangul_thickness,396,7.198165388777272
lh_G_front_middle_thickness,2,0.009765670261941448
lh_G_front_sup_thickness,3,0.019890474482832446
lh_G_Ins_lg_and_S_cent_ins_thickness,3,0.03319635833163573
lh_G_insular_short_thickness,2,0.012998296892980436
lh_G_occipital_middle_thickness,11,0.13449653591906127
lh_G_occipital_sup_thickness,7,0.06889959665518233
lh_G_oc-temp_lat-fusifor_thickness,4,0.036712616591825356
lh_G_oc-temp_med-Lingual_thickness,8,0.07679024719457428
lh_G_oc-temp_med-Parahip_thickness,3,0.016657847851793455
lh_G_orbital_thickness,5,0.053112941875029775
lh_G_pariet_inf-Angular_thickness,497,10.784781919570595
lh_G_pariet_inf-Supramar_thickness,2,0.009765670261941448
lh_G_parietal_sup_thickness,5,0.04493433413195525
lh_G_postcentral_thickness,2,0.018057211763917735
lh_G_precentral_thickness,448,8.402929985534946
lh_G_precuneus_thickness,25,0.40554955093646383
lh_G_rectus_thickness,444,8.155139079427405
lh_G_subcallosal_thickness,3,0.016657847851793455
lh_G_temp_sup-G_T_transv_thickness,487,10.312582990266536
lh_G_temp_sup-Lateral_thickness,4,0.03105550865689817
lh_G_temp_sup-Plan_polar_thickness,496,10.777490095935187
