Name,frecuency,variation (a/k)
lh_G_and_S_frontomargin_volume,461,2.7522456099680057
lh_G_and_S_occipital_inf_volume,306,1.6084661140107475
lh_G_and_S_paracentral_volume,367,2.049199393209427
lh_G_and_S_subcentral_volume,326,1.7818174398165096
lh_G_and_S_transv_frontopol_volume,367,2.097856502558462
lh_G_and_S_cingul-Ant_volume,315,1.6919546042122542
lh_G_and_S_cingul-Mid-Ant_volume,301,1.6184374464467373
lh_G_and_S_cingul-Mid-Post_volume,314,1.7307813648359696
lh_G_cingul-Post-dorsal_volume,362,2.0457828534204268
lh_G_cingul-Post-ventral_volume,392,2.2423550452700645
lh_G_cuneus_volume,431,2.5509677172092355
lh_G_front_inf-Opercular_volume,361,2.0468874512175006
lh_G_front_inf-Orbital_volume,423,2.5351369516266633
lh_G_front_inf-Triangul_volume,362,2.0331693104560133
lh_G_front_middle_volume,323,1.7332633541030624
lh_G_front_sup_volume,326,1.7944242381294118
lh_G_Ins_lg_and_S_cent_ins_volume,363,2.0059527549920952
lh_G_insular_short_volume,393,2.2810321065488997
lh_G_occipital_middle_volume,326,1.8171650267150437
lh_G_occipital_sup_volume,310,1.6266913952673467
lh_G_oc-temp_lat-fusifor_volume,310,1.6905242354970513
lh_G_oc-temp_med-Lingual_volume,296,1.5851068615559396
lh_G_oc-temp_med-Parahip_volume,346,1.944832843031771
lh_G_orbital_volume,397,2.3348269883298975
lh_G_pariet_inf-Angular_volume,323,1.7619773320324632
lh_G_pariet_inf-Supramar_volume,327,1.7524845591493672
lh_G_parietal_sup_volume,327,1.7973875015266867
lh_G_postcentral_volume,319,1.6862931037380489
lh_G_precentral_volume,321,1.8061759614682185
lh_G_precuneus_volume,299,1.5712211092648478
lh_G_rectus_volume,329,1.7951396127601924
lh_G_subcallosal_volume,297,1.6027884931606216
lh_G_temp_sup-G_T_transv_volume,429,2.4750173937511266
lh_G_temp_sup-Lateral_volume,309,1.734342622920662
lh_G_temp_sup-Plan_polar_volume,470,2.9208965857009295
lh_G_temp_sup-Plan_tempo_volume,315,1.7188934542074814
lh_G_temporal_inf_volume,308,1.6326352323121638
lh_G_temporal_middle_volume,317,1.742719567218726
lh_Lat_Fis-ant-Horizont_volume,493,3.3303169265324217
lh_Lat_Fis-ant-Vertical_volume,309,1.6683915066286543
lh_Lat_Fis-post_volume,364,2.063579663202292
lh_Pole_occipital_volume,338,1.8593672668529022
lh_Pole_temporal_volume,310,1.6204280025262636
lh_S_calcarine_volume,294,1.5427734619763525
lh_S_central_volume,319,1.6839036334742044
lh_S_cingul-Marginalis_volume,387,2.176147979366753
lh_S_circular_insula_ant_volume,327,1.760856830674498
lh_S_circular_insula_inf_volume,359,2.0095411661028892
lh_S_circular_insula_sup_volume,383,2.1914357365012567
