Name,coef
lh_S_orbital_med-olfact_area,0.17
lh_G_and_S_frontomargin_area,0.11
lh_G_cuneus_area,0.11
rh_Pole_occipital_area,0.1
lh_Pole_occipital_area,0.09
rh_G_pariet_inf-Angular_area,0.09
lh_S_temporal_sup_area,0.09
rh_S_oc-temp_lat_area,0.08
lh_G_oc-temp_med-Parahip_area,0.06
rh_G_occipital_sup_area,0.06
rh_G_oc-temp_med-Parahip_area,0.04
lh_G_pariet_inf-Angular_area,0.04
rh_S_pericallosal_area,0.03
lh_S_parieto_occipital_area,0.03
lh_S_circular_insula_sup_area,0.02
lh_Pole_temporal_area,0.02
rh_S_temporal_inf_area,0.01
lh_G_temp_sup-Plan_polar_area,0.01
lh_G_temp_sup-Lateral_area,0.01
lh_G_and_S_occipital_inf_area,0.01
lh_G_front_sup_area,0.0
lh_G_temporal_middle_area,0.0
lh_G_and_S_paracentral_area,0.0
lh_G_and_S_subcentral_area,0.0
lh_G_and_S_transv_frontopol_area,0.0
lh_G_and_S_cingul-Ant_area,0.0
lh_G_and_S_cingul-Mid-Ant_area,0.0
lh_G_and_S_cingul-Mid-Post_area,0.0
lh_G_cingul-Post-dorsal_area,0.0
lh_G_cingul-Post-ventral_area,0.0
lh_G_front_inf-Opercular_area,0.0
lh_G_front_inf-Orbital_area,0.0
lh_G_front_inf-Triangul_area,0.0
lh_G_front_middle_area,0.0
lh_G_parietal_sup_area,0.0
lh_G_Ins_lg_and_S_cent_ins_area,0.0
lh_Lat_Fis-ant-Horizont_area,0.0
lh_G_insular_short_area,0.0
lh_G_occipital_sup_area,0.0
lh_G_oc-temp_lat-fusifor_area,0.0
lh_G_oc-temp_med-Lingual_area,0.0
lh_G_orbital_area,0.0
lh_G_pariet_inf-Supramar_area,0.0
rh_G_and_S_transv_frontopol_area,0.0
lh_G_postcentral_area,0.0
lh_G_precentral_area,0.0
lh_G_precuneus_area,0.0
lh_G_rectus_area,0.0
lh_G_subcallosal_area,0.0
lh_Lat_Fis-ant-Vertical_area,0.0
lh_S_precentral-inf-part_area,0.0
lh_S_oc-temp_lat_area,0.0
rh_G_and_S_subcentral_area,0.0
lh_S_calcarine_area,0.0
lh_S_central_area,0.0
lh_S_cingul-Marginalis_area,0.0
lh_S_circular_insula_ant_area,0.0
lh_S_circular_insula_inf_area,0.0
lh_S_collat_transv_ant_area,0.0
lh_S_collat_transv_post_area,0.0
lh_S_front_inf_area,0.0
lh_S_front_middle_area,0.0
lh_S_front_sup_area,0.0
lh_S_interm_prim-Jensen_area,0.0
lh_S_intrapariet_and_P_trans_area,0.0
lh_S_oc_middle_and_Lunatus_area,0.0
lh_S_oc_sup_and_transversal_area,0.0
lh_Lat_Fis-post_area,0.0
lh_S_occipital_ant_area,0.0
lh_S_oc-temp_med_and_Lingual_area,0.0
lh_S_orbital_lateral_area,0.0
lh_S_orbital-H_Shaped_area,0.0
lh_S_pericallosal_area,0.0
lh_S_postcentral_area,0.0
lh_G_temp_sup-Plan_tempo_area,0.0
lh_S_precentral-sup-part_area,0.0
lh_S_suborbital_area,0.0
lh_S_subparietal_area,0.0
lh_S_temporal_inf_area,0.0
lh_S_temporal_transverse_area,0.0
rh_G_and_S_occipital_inf_area,0.0
rh_G_and_S_paracentral_area,0.0
lh_G_temp_sup-G_T_transv_area,0.0
rh_S_calcarine_area,0.0
