Name,coef
rh_Pole_temporal_thickness,0.52
lh_G_temp_sup-Plan_polar_thickness,0.31
lh_S_collat_transv_post_thickness,0.24
rh_S_calcarine_thickness,0.24
lh_G_temp_sup-G_T_transv_thickness,0.24
rh_G_front_middle_thickness,0.22
rh_G_insular_short_thickness,0.21
rh_S_pericallosal_thickness,0.21
rh_S_circular_insula_inf_thickness,0.2
rh_S_orbital-H_Shaped_thickness,0.19
lh_G_and_S_transv_frontopol_thickness,0.17
rh_S_circular_insula_sup_thickness,0.16
lh_S_suborbital_thickness,0.15
rh_G_postcentral_thickness,0.14
lh_S_orbital_med-olfact_thickness,0.13
lh_G_pariet_inf-Angular_thickness,0.11
lh_G_and_S_occipital_inf_thickness,0.11
lh_S_collat_transv_ant_thickness,0.11
lh_G_Ins_lg_and_S_cent_ins_thickness,0.11
rh_G_oc-temp_med-Lingual_thickness,0.11
lh_S_subparietal_thickness,0.1
lh_Lat_Fis-post_thickness,0.1
rh_G_front_inf-Triangul_thickness,0.1
lh_G_front_inf-Opercular_thickness,0.1
rh_G_cingul-Post-ventral_thickness,0.1
lh_G_rectus_thickness,0.09
rh_S_circular_insula_ant_thickness,0.09
rh_S_orbital_lateral_thickness,0.09
rh_S_suborbital_thickness,0.08
rh_G_pariet_inf-Supramar_thickness,0.08
lh_G_and_S_cingul-Mid-Ant_thickness,0.08
rh_G_temp_sup-G_T_transv_thickness,0.07
lh_S_circular_insula_ant_thickness,0.07
lh_G_front_inf-Orbital_thickness,0.07
lh_S_oc_sup_and_transversal_thickness,0.07
rh_S_oc-temp_med_and_Lingual_thickness,0.07
lh_S_orbital_lateral_thickness,0.06
lh_G_front_inf-Triangul_thickness,0.06
rh_S_front_middle_thickness,0.05
lh_S_front_middle_thickness,0.05
lh_G_temp_sup-Plan_tempo_thickness,0.04
lh_G_orbital_thickness,0.04
rh_G_parietal_sup_thickness,0.04
rh_G_temp_sup-Lateral_thickness,0.04
rh_G_temporal_inf_thickness,0.04
rh_S_collat_transv_post_thickness,0.03
lh_S_calcarine_thickness,0.03
lh_S_temporal_transverse_thickness,0.03
lh_G_cingul-Post-dorsal_thickness,0.03
rh_S_central_thickness,0.02
rh_G_and_S_subcentral_thickness,0.02
lh_G_oc-temp_med-Lingual_thickness,0.02
rh_G_precentral_thickness,0.0
rh_S_precentral-sup-part_thickness,0.0
rh_S_precentral-inf-part_thickness,0.0
rh_S_oc_sup_and_transversal_thickness,0.0
rh_G_pariet_inf-Angular_thickness,0.0
rh_G_rectus_thickness,0.0
rh_G_orbital_thickness,0.0
rh_G_oc-temp_med-Parahip_thickness,0.0
rh_G_oc-temp_lat-fusifor_thickness,0.0
rh_S_subparietal_thickness,0.0
rh_G_occipital_sup_thickness,0.0
rh_G_occipital_middle_thickness,0.0
rh_S_temporal_inf_thickness,0.0
rh_S_temporal_sup_thickness,0.0
rh_G_precuneus_thickness,0.0
rh_G_temporal_middle_thickness,0.0
rh_G_subcallosal_thickness,0.0
rh_S_cingul-Marginalis_thickness,0.0
rh_S_intrapariet_and_P_trans_thickness,0.0
rh_S_occipital_ant_thickness,0.0
rh_S_interm_prim-Jensen_thickness,0.0
rh_S_oc-temp_lat_thickness,0.0
rh_S_front_sup_thickness,0.0
rh_S_front_inf_thickness,0.0
rh_S_collat_transv_ant_thickness,0.0
rh_G_Ins_lg_and_S_cent_ins_thickness,0.0
rh_S_orbital_med-olfact_thickness,0.0
rh_G_temp_sup-Plan_polar_thickness,0.0
rh_S_parieto_occipital_thickness,0.0
rh_S_postcentral_thickness,0.0
rh_Pole_occipital_thickness,0.0
rh_Lat_Fis-post_thickness,0.0
rh_Lat_Fis-ant-Vertical_thickness,0.0
rh_Lat_Fis-ant-Horizont_thickness,0.0
