Name,coef
lh_S_orbital_med-olfact_area,0.17
lh_G_and_S_frontomargin_area,0.11
lh_G_cuneus_area,0.11
rh_Pole_occipital_area,0.1
lh_Pole_occipital_area,0.09
rh_G_pariet_inf-Angular_area,0.09
lh_S_temporal_sup_area,0.09
rh_S_oc-temp_lat_area,0.08
lh_G_oc-temp_med-Parahip_area,0.06
rh_G_occipital_sup_area,0.06
rh_G_oc-temp_med-Parahip_area,0.04
lh_G_pariet_inf-Angular_area,0.04
rh_S_pericallosal_area,0.03
lh_S_parieto_occipital_area,0.03
lh_S_circular_insula_sup_area,0.02
lh_Pole_temporal_area,0.02
rh_S_temporal_inf_area,0.01
lh_G_temp_sup-Plan_polar_area,0.01
lh_G_temp_sup-Lateral_area,0.01
lh_G_and_S_occipital_inf_area,0.01
