Name,coef
lh_G_oc-temp_med-Parahip_meancurv,0.38
lh_Pole_temporal_meancurv,0.36
lh_G_Ins_lg_and_S_cent_ins_meancurv,0.34
lh_G_temp_sup-G_T_transv_meancurv,0.3
rh_Pole_temporal_meancurv,0.27
lh_G_orbital_meancurv,0.22
rh_S_pericallosal_meancurv,0.22
lh_G_and_S_cingul-Ant_meancurv,0.21
rh_G_rectus_meancurv,0.2
lh_G_insular_short_meancurv,0.2
lh_G_pariet_inf-Supramar_meancurv,0.19
rh_G_temporal_middle_meancurv,0.18
lh_S_front_inf_meancurv,0.18
rh_S_calcarine_meancurv,0.17
lh_G_front_inf-Orbital_meancurv,0.17
lh_S_temporal_sup_meancurv,0.16
rh_G_oc-temp_med-Parahip_meancurv,0.16
lh_G_and_S_occipital_inf_meancurv,0.14
lh_S_circular_insula_sup_meancurv,0.14
lh_G_temporal_inf_meancurv,0.14
rh_G_and_S_cingul-Mid-Ant_meancurv,0.14
lh_G_and_S_transv_frontopol_meancurv,0.13
lh_S_subparietal_meancurv,0.13
rh_G_front_inf-Triangul_meancurv,0.13
lh_S_orbital-H_Shaped_meancurv,0.13
rh_S_occipital_ant_meancurv,0.13
rh_S_parieto_occipital_meancurv,0.12
lh_G_occipital_sup_meancurv,0.12
rh_S_subparietal_meancurv,0.12
rh_G_front_inf-Opercular_meancurv,0.11
rh_G_temp_sup-Plan_polar_meancurv,0.11
rh_G_postcentral_meancurv,0.11
rh_S_oc-temp_lat_meancurv,0.11
lh_S_pericallosal_meancurv,0.11
rh_G_and_S_occipital_inf_meancurv,0.1
rh_S_precentral-sup-part_meancurv,0.1
lh_G_and_S_subcentral_meancurv,0.09
lh_G_parietal_sup_meancurv,0.09
lh_S_temporal_transverse_meancurv,0.08
lh_S_temporal_inf_meancurv,0.08
lh_S_oc_middle_and_Lunatus_meancurv,0.08
rh_G_and_S_cingul-Ant_meancurv,0.08
lh_Pole_occipital_meancurv,0.07
lh_Lat_Fis-post_meancurv,0.07
rh_G_front_middle_meancurv,0.07
lh_S_oc-temp_med_and_Lingual_meancurv,0.07
rh_G_temporal_inf_meancurv,0.06
rh_S_circular_insula_ant_meancurv,0.06
rh_S_orbital-H_Shaped_meancurv,0.06
lh_S_orbital_med-olfact_meancurv,0.06
lh_S_collat_transv_post_meancurv,0.05
rh_S_front_middle_meancurv,0.05
lh_G_temp_sup-Plan_tempo_meancurv,0.04
lh_G_temp_sup-Plan_polar_meancurv,0.04
rh_G_and_S_frontomargin_meancurv,0.04
rh_G_and_S_paracentral_meancurv,0.03
rh_Lat_Fis-ant-Horizont_meancurv,0.03
rh_S_temporal_transverse_meancurv,0.03
lh_G_oc-temp_lat-fusifor_meancurv,0.03
lh_Lat_Fis-ant-Vertical_meancurv,0.03
lh_S_postcentral_meancurv,0.02
lh_G_front_inf-Opercular_meancurv,0.02
rh_S_circular_insula_inf_meancurv,0.02
lh_S_suborbital_meancurv,0.02
rh_S_oc_middle_and_Lunatus_meancurv,0.02
lh_S_calcarine_meancurv,0.02
lh_S_oc_sup_and_transversal_meancurv,0.02
rh_S_cingul-Marginalis_meancurv,0.01
rh_G_parietal_sup_meancurv,0.01
rh_S_circular_insula_sup_meancurv,0.01
lh_G_and_S_paracentral_meancurv,0.01
lh_G_temporal_middle_meancurv,0.01
