Name,votes,area,vol
lh_S_orbital_med-olfact,0,0,0
lh_G_and_S_frontomargin,6,1,5
lh_Pole_occipital,7,5,2
rh_Pole_occipital,11,3,8
lh_G_cuneus,15,2,13
lh_G_temp_sup-Plan_polar,17,16,1
rh_S_oc-temp_lat,18,7,11
rh_G_pariet_inf-Angular,23,4,19
rh_S_temporal_inf,23,19,4
rh_G_oc-temp_med-Parahip,27,11,16
rh_G_occipital_sup,500,9,0
lh_G_oc-temp_med-Parahip,500,8,0
lh_S_temporal_sup,500,6,0
rh_S_pericallosal,500,12,0
lh_S_parieto_occipital,500,13,0
lh_S_circular_insula_sup,500,14,0
lh_G_pariet_inf-Angular,500,10,0
lh_G_temp_sup-Lateral,500,17,0
lh_G_and_S_occipital_inf,500,18,0
lh_S_pericallosal,500,0,0
lh_G_and_S_transv_frontopol,500,0,0
lh_G_and_S_cingul-Ant,500,0,0
lh_G_and_S_cingul-Mid-Ant,500,0,0
lh_G_and_S_cingul-Mid-Post,500,0,0
lh_G_front_sup,500,0,0
lh_Pole_temporal,500,15,0
lh_G_parietal_sup,500,0,0
lh_G_cingul-Post-dorsal,500,0,0
lh_G_cingul-Post-ventral,500,0,0
lh_G_front_inf-Orbital,500,0,0
lh_G_front_inf-Triangul,500,0,0
lh_G_front_middle,500,0,0
lh_Lat_Fis-ant-Vertical,500,0,0
rh_G_and_S_transv_frontopol,500,0,0
lh_G_temporal_middle,500,0,0
lh_G_Ins_lg_and_S_cent_ins,500,0,0
lh_Lat_Fis-ant-Horizont,500,0,0
lh_G_occipital_sup,500,0,0
lh_G_oc-temp_lat-fusifor,500,0,0
lh_G_oc-temp_med-Lingual,500,0,0
lh_G_pariet_inf-Supramar,500,0,0
lh_G_and_S_paracentral,500,0,0
lh_G_postcentral,500,0,0
lh_S_calcarine,500,0,0
lh_G_precentral,500,0,0
lh_G_rectus,500,0,0
lh_G_subcallosal,500,0,0
lh_G_and_S_subcentral,500,0,0
lh_S_subparietal,500,0,0
lh_S_suborbital,500,0,0
lh_S_precentral-sup-part,500,0,0
lh_G_precuneus,500,0,0
lh_S_cingul-Marginalis,500,0,0
lh_S_circular_insula_ant,500,0,0
lh_S_orbital-H_Shaped,500,0,0
lh_G_insular_short,500,0,0
lh_S_circular_insula_inf,500,0,0
lh_S_collat_transv_ant,500,0,0
